Method,eccentricity
FM2FM,0.972161418
FM2FM,0.986679587
FM2FM,0.98257985
FM2FM,0.975931758
FM2FM,0.960730616
FM2FM,0.971238242
FM2FM,0.979433708
FM2FM,0.993771103
FM2FM,0.992266271
FM2FM,0.989026079
FM2FM,0.983803316
FM2FM,0.989731257
FM2FM,0.935323511
FM2FM,0.988497069
FM2FM,0.983277425
FM2FM,0.986732737
FM2FM,0.989630993
FM2FM,0.982262111
FM2FM,0.983330959
FM2FM,0.944089676
FM2FM,0.991343592
FM2FM,0.971792925
FM2FM,0.924930526
FM2FM,0.988744437
FM2FM,0.985476356
FM2FM,0.988106913
FM2FM,0.988827533
FM2FM,0.981387828
FM2FM,0.980859398
FM2FM,0.982339357
FM2FM,0.986807186
FM2FM,0.967435345
FM2FM,0.963487381
FM2FM,0.981623044
FM2FM,0.979556782
FM2FM,0.986407648
FM2FM,0.978425637
FM2FM,0.982995346
FM2FM,0.976082589
FM2FM,0.91409816
FM2FM,0.953730744
FM2FM,0.982694725
FM2FM,0.954905054
FM2FM,0.976234767
FM2FM,0.98694085
FM2FM,0.989111146
FM2FM,0.979186398
FM2FM,0.97410372
FM2FM,0.983796998
FM2FM,0.980607618
FM2FM,0.975042153
FM2FM,0.97955215
FM2FM,0.988814995
FM2FM,0.979321469
FM2FM,0.980187758
FM2FM,0.977871094
FM2FM,0.985519029
FM2FM,0.977760192
FM2FM,0.985871149
FM2FM,0.974099384
FM2FM,0.988690435
FM2FM,0.976728936
FM2FM,0.981665301
FM2FM,0.988541243
FM2FM,0.989648351
FM2FM,0.985991203
FM2FM,0.978996539
FM2FM,0.979648472
FM2FM,0.987975625
FM2FM,0.97647523
FM2FM,0.975223727
FM2FM,0.989592992
FM2FM,0.975066806
FM2FM,0.975715335
FM2FM,0.978745221
FM2FM,0.95760528
FM2FM,0.98577427
FM2FM,0.969920101
FM2FM,0.977476033
FM2FM,0.979635243
FM2FM,0.982078248
FM2FM,0.984670228
FM2FM,0.979989502
FM2FM,0.969222368
FM2FM,0.974730814
FM2FM,0.972315246
FM2FM,0.975884053
FM2FM,0.98112865
FM2FM,0.984819591
FM2FM,0.979414083
FM2FM,0.989618942
FM2FM,0.979886311
FM2FM,0.984003748
FM2FM,0.992713701
FM2FM,0.983575248
FM2FM,0.971027519
FM2FM,0.983542004
FM2FM,0.979477274
FM2FM,0.984735161
FM2FM,0.968078102
FM2FM,0.97167441
FM2FM,0.987618719
FM2FM,0.987177665
FM2FM,0.984081772
FM2FM,0.983328528
FM2FM,0.978293124
FM2FM,0.986338478
FM2FM,0.982411734
FM2FM,0.984366177
FM2FM,0.970574202
FM2FM,0.982887863
FM2FM,0.980803354
FM2FM,0.983599284
FM2FM,0.97475889
FM2FM,0.982123524
FM2FM,0.97438096
FM2FM,0.98771092
FM2FM,0.988546222
FM2FM,0.976086175
FM2FM,0.968359518
FM2FM,0.979236751
FM2FM,0.990774822
FM2FM,0.989127225
FM2FM,0.97060599
FM2FM,0.990122733
FM2FM,0.970775618
FM2FM,0.981887836
FM2FM,0.875713468
FM2FM,0.984426484
FM2FM,0.983151272
FM2FM,0.982726043
FM2FM,0.986176081
FM2FM,0.990040937
FM2FM,0.958154581
FM2FM,0.976395808
FM2FM,0.99209208
FM2FM,0.992905105
FM2FM,0.994883527
FM2FM,0.98605823
FM2FM,0.978257289
FM2FM,0.984611381
FM2FM,0.988695306
FM2FM,0.986432015
FM2FM,0.989810464
FM2FM,0.985967595
FM2FM,0.98519264
FM2FM,0.975509784
FM2FM,0.981314516
FM2FM,0.984151572
FM2FM,0.979602118
FM2FM,0.97120327
FM2FM,0.977077747
FM2FM,0.988033032
FM2FM,0.879846846
FM2FM,0.981354478
FM2FM,0.979750168
FM2FM,0.983705202
FM2FM,0.983826122
FM2FM,0.991006466
FM2FM,0.978921641
FM2FM,0.984014001
FM2FM,0.972940826
FM2FM,0.98486372
FM2FM,0.971020503
FM2FM,0.968661448
FM2FM,0.984770461
FM2FM,0.980893626
FM2FM,0.97957511
FM2FM,0.983756235
FM2FM,0.981170808
FM2FM,0.971214816
FM2FM,0.971232222
FM2FM,0.984142056
FM2FM,0.991215136
FM2FM,0.971145687
FM2FM,0.979138755
FM2FM,0.970409591
FM2FM,0.962048608
FM2FM,0.991213062
FM2FM,0.990826241
FM2FM,0.986698085
FM2FM,0.993082502
FM2FM,0.984416056
FM2FM,0.98524644
FM2FM,0.974475621
FM2FM,0.873888937
FM2FM,0.976687533
FM2FM,0.973112491
FM2FM,0.97323971
FM2FM,0.992020097
FM2FM,0.983529751
FM2FM,0.990122963
FM2FM,0.990732177
FM2FM,0.982477319
FM2FM,0.981359198
FM2FM,0.984389925
FM2FM,0.981739258
FM2FM,0.976072609
SoftWorx,0.983773713
SoftWorx,0.986660381
SoftWorx,0.981692078
SoftWorx,0.985388708
SoftWorx,0.978609915
SoftWorx,0.981010242
SoftWorx,0.993542332
SoftWorx,0.984997629
SoftWorx,0.978863982
SoftWorx,0.994528858
SoftWorx,0.992349767
SoftWorx,0.985410517
SoftWorx,0.986399525
SoftWorx,0.982345779
SoftWorx,0.980157094
SoftWorx,0.978680605
SoftWorx,0.980898748
SoftWorx,0.97793964
SoftWorx,0.980888358
SoftWorx,0.980354469
SoftWorx,0.98590666
SoftWorx,0.984727396
SoftWorx,0.975777419
SoftWorx,0.988235491
SoftWorx,0.983201052
SoftWorx,0.979303923
SoftWorx,0.994440161
SoftWorx,0.978187692
SoftWorx,0.977193472
SoftWorx,0.973055124
SoftWorx,0.979433899
SoftWorx,0.992466661
SoftWorx,0.971439441
SoftWorx,0.886728043
SoftWorx,0.981247833
SoftWorx,0.991505426
SoftWorx,0.974068037
SoftWorx,0.958464483
SoftWorx,0.988731363
SoftWorx,0.960943598
SoftWorx,0.97103172
SoftWorx,0.981934098
SoftWorx,0.976789277
SoftWorx,0.938757146
SoftWorx,0.991070825
SoftWorx,0.98133218
SoftWorx,0.948276096
SoftWorx,0.984476384
SoftWorx,0.989991873
SoftWorx,0.987508974
SoftWorx,0.987197324
