,Method,Width
1490,FP2FM,0.7872184990550717
1491,FP2FM,0.8792311859223353
1492,FP2FM,0.8535534357026694
1493,FP2FM,0.7935387918058918
1494,FP2FM,0.8575351178603766
1495,FP2FM,0.8455980153141733
1496,FP2FM,0.8025321182275054
1497,FP2FM,0.8308029184327802
1498,FP2FM,0.8837264587443597
1499,FP2FM,0.7857871655941514
1500,FP2FM,0.8228271349013937
1501,FP2FM,0.861780853384601
1502,FP2FM,0.7845256773386363
1503,FP2FM,0.9004338282771381
1504,FP2FM,0.9275291790183638
1505,FP2FM,0.7774535552104076
1506,FP2FM,0.7560771837930177
1507,FP2FM,0.8352326869904596
1508,FP2FM,0.9365197632880415
1509,FP2FM,0.9119734342831443
1510,FP2FM,0.7862016642534245
1511,FP2FM,0.8994649853318204
1512,FP2FM,0.7826547075245897
1513,FP2FM,0.7853893457337623
1514,FP2FM,0.9064319984039967
1515,FP2FM,0.8515600943532531
1516,FP2FM,0.9353551204808724
1517,FP2FM,0.8343721244148363
1518,FP2FM,0.843465282538605
1519,FP2FM,0.905028052775509
1520,FP2FM,0.8629827175218033
1521,FP2FM,0.8190197722625646
1522,FP2FM,0.846942671248605
1523,FP2FM,0.8004516295493224
1524,FP2FM,0.8350334421820949
1525,FP2FM,0.8626357483663205
1526,FP2FM,0.893440639523919
1527,FP2FM,0.916751914258272
1528,FP2FM,0.8293490105392342
1529,FP2FM,0.824651415851434
1530,FP2FM,0.8125893072436547
1531,FP2FM,0.8773129541531864
1532,FP2FM,0.8224793936419764
1533,FP2FM,0.8490477523169756
1534,FP2FM,0.7811650630040873
1535,FP2FM,0.76951183435871
1536,FP2FM,0.9065900455834407
1537,FP2FM,0.8596929562456797
1538,FP2FM,0.7702675144321939
1539,FP2FM,0.8719425529996595
1540,FP2FM,0.8060336106842231
1541,FP2FM,0.8255885360571699
1542,FP2FM,0.8781455326582591
1543,FP2FM,0.9078833108316441
1544,FP2FM,0.8882872850959949
1545,FP2FM,0.7089624458282726
1546,FP2FM,0.7848351005518286
1547,FP2FM,0.8452428760619415
1548,FP2FM,0.8871911523338153
1549,FP2FM,0.8219836669120251
1550,FP2FM,0.8529117912726917
1551,FP2FM,0.8251954022476566
1552,FP2FM,0.879989574580162
1553,FP2FM,0.8277923883336064
1554,FP2FM,0.8963025141319254
1555,FP2FM,0.8601119699101537
1556,FP2FM,0.8877755387790305
1557,FP2FM,0.8998845133002749
1558,FP2FM,0.8746867685020797
1559,FP2FM,0.8863443644495341
1560,FP2FM,0.8344816103130099
1561,FP2FM,0.8575657700501537
1562,FP2FM,0.901742646025825
1563,FP2FM,0.854537883419558
1564,FP2FM,0.8431902429236361
1565,FP2FM,0.8850839412127955
1566,FP2FM,0.8901940140486169
1568,FP2FM,0.8378233736066516
1569,FP2FM,0.90912805373317
1570,FP2FM,0.8277873816978937
1571,FP2FM,0.9118342708776108
1572,FP2FM,0.8711738102125755
1573,FP2FM,0.9116876558340288
1574,FP2FM,0.7896676482123992
1575,FP2FM,0.7537481204038995
1576,FP2FM,0.7636514953234562
1577,FP2FM,0.7807851798293031
1578,FP2FM,0.7284181096247383
1579,FP2FM,0.822000128507928
1580,FP2FM,0.7499096399180465
1581,FP2FM,0.779147745389197
1582,FP2FM,0.7671647983748455
1583,FP2FM,0.7641013571997588
1584,FP2FM,0.8000812844596485
1585,FP2FM,0.812335481648876
1586,FP2FM,0.7344609748376788
1587,FP2FM,0.8386391196777101
1588,FP2FM,0.8287963245286603
1589,FP2FM,0.8291732014100207
1590,FP2FM,0.8168538860072382
1591,FP2FM,0.8436632190675858
1592,FP2FM,0.8029442574610096
1593,FP2FM,0.7359901057153013
1594,FP2FM,0.8095826156560034
1595,FP2FM,0.7785436337429436
1596,FP2FM,0.7885205948758339
1597,FP2FM,0.7429251136569786
1598,FP2FM,0.8198800225096299
1599,FP2FM,0.8285344346004603
1600,FP2FM,0.8250207923320463
1601,FP2FM,0.8099915469198093
1602,FP2FM,0.8240195141620049
1603,FP2FM,0.8631865595926802
1604,FP2FM,0.9315233489695919
1605,FP2FM,0.7834751693824896
1606,FP2FM,0.8331714507406013
1607,FP2FM,0.8273943154451523
1608,FP2FM,0.8931766118599082
1609,FP2FM,0.9375492213010121
1610,FP2FM,0.7801160537727115
1611,FP2FM,0.8694494310138733
1612,FP2FM,0.8839890418130034
1613,FP2FM,0.9798340387484148
1615,FP2FM,0.7955904347328517
1616,FP2FM,0.8899163769230687
1617,FP2FM,0.892992619158004
1618,FP2FM,0.905927325794969
1619,FP2FM,0.8101121678138239
1620,FP2FM,0.757764302840033
1621,FP2FM,0.9060136023021741
1622,FP2FM,0.8661609740099633
1623,FP2FM,0.8262017738345406
1624,FP2FM,0.8508372194417514
1625,FP2FM,0.8061601279607183
1626,FP2FM,0.784755812033584
1627,FP2FM,0.8384810560284143
1628,FP2FM,0.9009754352483444
1629,FP2FM,0.8575869279566424
1630,FP2FM,0.7667406481178088
1631,FP2FM,0.8184280910048196
1632,FP2FM,0.889569260333884
1633,FP2FM,0.8885866402594098
1634,FP2FM,0.8361369872857817
1635,FP2FM,0.8484053596165142
1636,FP2FM,0.9079043877038361
1637,FP2FM,0.8079720034168888
1638,FP2FM,0.7757280997239472
1639,FP2FM,0.7836999536835267
1640,FP2FM,0.810876373287146
1641,FP2FM,0.7779889740011604
1642,FP2FM,0.8075171097196291
1643,FP2FM,0.8812543572617157
1644,FP2FM,0.8347345249366115
1645,FP2FM,0.8132748883779045
1646,FP2FM,0.8532740094679871
1647,FP2FM,0.7233895702876711
1648,FP2FM,0.8835097503411425
1649,FP2FM,0.8537856879449172
1650,FP2FM,0.7547047035603969
1651,FP2FM,0.8617755231340873
1652,FP2FM,0.8548002795079611
1653,FP2FM,0.8574759651618237
1654,FP2FM,0.8163762829716623
1655,FP2FM,0.8678108004989505
1656,FP2FM,0.8652567501798774
1658,FP2FM,0.8752176833713271
1659,FP2FM,0.6534228874505543
1660,FP2FM,0.8457703725008984
1661,FP2FM,0.738758557084022
1662,FP2FM,0.8041803406231557
1663,FP2FM,0.7850910928129202
1664,FP2FM,0.7848634472153116
1665,FP2FM,0.7878295661841106
1666,FP2FM,0.7886818042351047
