,Image type,Model,Threshold,F1,Image
4,Raw,Morphometrics,0.7,0.0,3
5,Raw,Morphometrics,0.75,0.0,3
6,Raw,Morphometrics,0.8,0.0,3
7,Raw,Morphometrics,0.85,0.0,3
8,Raw,Morphometrics,0.9,0.0,3
9,Raw,Morphometrics,0.95,0.0,3
10,Raw,Morphometrics,1.0,0.0,3
0,Raw,Omnipose,0.5,0.84745765,4
1,Raw,Omnipose,0.55,0.8135593,4
2,Raw,Omnipose,0.6,0.8135593,4
3,Raw,Omnipose,0.65,0.8135593,4
4,Raw,Omnipose,0.7,0.8135593,4
5,Raw,Omnipose,0.75,0.779661,4
6,Raw,Omnipose,0.8,0.779661,4
7,Raw,Omnipose,0.85,0.779661,4
8,Raw,Omnipose,0.9,0.779661,4
9,Raw,Omnipose,0.95,0.6101695,4
10,Raw,Omnipose,1.0,0.0,4
0,Raw,Cellpose-SAM,0.5,0.8965517,4
1,Raw,Cellpose-SAM,0.55,0.82758623,4
2,Raw,Cellpose-SAM,0.6,0.79310346,4
3,Raw,Cellpose-SAM,0.65,0.79310346,4
4,Raw,Cellpose-SAM,0.7,0.79310346,4
5,Raw,Cellpose-SAM,0.75,0.79310346,4
6,Raw,Cellpose-SAM,0.8,0.79310346,4
7,Raw,Cellpose-SAM,0.85,0.79310346,4
8,Raw,Cellpose-SAM,0.9,0.79310346,4
9,Raw,Cellpose-SAM,0.95,0.5862069,4
10,Raw,Cellpose-SAM,1.0,0.0,4
0,Raw,microSAM,0.5,0.094736844,4
1,Raw,microSAM,0.55,0.07368421,4
2,Raw,microSAM,0.6,0.06315789,4
3,Raw,microSAM,0.65,0.06315789,4
4,Raw,microSAM,0.7,0.06315789,4
5,Raw,microSAM,0.75,0.042105265,4
6,Raw,microSAM,0.8,0.021052632,4
7,Raw,microSAM,0.85,0.021052632,4
8,Raw,microSAM,0.9,0.010526316,4
9,Raw,microSAM,0.95,0.0,4
10,Raw,microSAM,1.0,0.0,4
0,Raw,Cellpose3,0.5,0.64788735,4
1,Raw,Cellpose3,0.55,0.6197183,4
2,Raw,Cellpose3,0.6,0.45070422,4
3,Raw,Cellpose3,0.65,0.45070422,4
4,Raw,Cellpose3,0.7,0.45070422,4
5,Raw,Cellpose3,0.75,0.45070422,4
6,Raw,Cellpose3,0.8,0.45070422,4
7,Raw,Cellpose3,0.85,0.45070422,4
8,Raw,Cellpose3,0.9,0.45070422,4
9,Raw,Cellpose3,0.95,0.056338027,4
10,Raw,Cellpose3,1.0,0.0,4
0,Raw,Morphometrics,0.5,0.7241379,4
1,Raw,Morphometrics,0.55,0.6896552,4
2,Raw,Morphometrics,0.6,0.62068963,4
3,Raw,Morphometrics,0.65,0.62068963,4
4,Raw,Morphometrics,0.7,0.5862069,4
5,Raw,Morphometrics,0.75,0.5862069,4
6,Raw,Morphometrics,0.8,0.55172414,4
7,Raw,Morphometrics,0.85,0.55172414,4
8,Raw,Morphometrics,0.9,0.4827586,4
9,Raw,Morphometrics,0.95,0.06896552,4
10,Raw,Morphometrics,1.0,0.0,4
0,Raw,Omnipose,0.5,0.875576,5
1,Raw,Omnipose,0.55,0.8663595,5
2,Raw,Omnipose,0.6,0.8663595,5
3,Raw,Omnipose,0.65,0.8663595,5
4,Raw,Omnipose,0.7,0.85714287,5
5,Raw,Omnipose,0.75,0.84792626,5
6,Raw,Omnipose,0.8,0.8294931,5
7,Raw,Omnipose,0.85,0.74654377,5
8,Raw,Omnipose,0.9,0.53456223,5
9,Raw,Omnipose,0.95,0.01843318,5
10,Raw,Omnipose,1.0,0.0,5
0,Raw,Cellpose-SAM,0.5,0.9045226,5
1,Raw,Cellpose-SAM,0.55,0.9045226,5
2,Raw,Cellpose-SAM,0.6,0.9045226,5
3,Raw,Cellpose-SAM,0.65,0.89447236,5
4,Raw,Cellpose-SAM,0.7,0.89447236,5
5,Raw,Cellpose-SAM,0.75,0.89447236,5
6,Raw,Cellpose-SAM,0.8,0.89447236,5
7,Raw,Cellpose-SAM,0.85,0.8743719,5
8,Raw,Cellpose-SAM,0.9,0.52261305,5
9,Raw,Cellpose-SAM,0.95,0.040201005,5
10,Raw,Cellpose-SAM,1.0,0.0,5
0,Raw,microSAM,0.5,0.74358976,5
1,Raw,microSAM,0.55,0.71794873,5
2,Raw,microSAM,0.6,0.6923077,5
3,Raw,microSAM,0.65,0.6752137,5
4,Raw,microSAM,0.7,0.6581197,5
5,Raw,microSAM,0.75,0.60683763,5
6,Raw,microSAM,0.8,0.47008547,5
7,Raw,microSAM,0.85,0.17094018,5
8,Raw,microSAM,0.9,0.008547009,5
9,Raw,microSAM,0.95,0.0,5
10,Raw,microSAM,1.0,0.0,5
0,Raw,Cellpose3,0.5,0.8773585,5
1,Raw,Cellpose3,0.55,0.8773585,5
2,Raw,Cellpose3,0.6,0.8773585,5
3,Raw,Cellpose3,0.65,0.8679245,5
4,Raw,Cellpose3,0.7,0.8679245,5
5,Raw,Cellpose3,0.75,0.8679245,5
6,Raw,Cellpose3,0.8,0.7075472,5
7,Raw,Cellpose3,0.85,0.4245283,5
8,Raw,Cellpose3,0.9,0.08490566,5
9,Raw,Cellpose3,0.95,0.0,5
10,Raw,Cellpose3,1.0,0.0,5
0,Raw,Morphometrics,0.5,0.8061224,5
1,Raw,Morphometrics,0.55,0.79591835,5
2,Raw,Morphometrics,0.6,0.78571427,5
3,Raw,Morphometrics,0.65,0.78571427,5
4,Raw,Morphometrics,0.7,0.7755102,5
5,Raw,Morphometrics,0.75,0.7653061,5
6,Raw,Morphometrics,0.8,0.67346936,5
7,Raw,Morphometrics,0.85,0.59183675,5
8,Raw,Morphometrics,0.9,0.31632653,5
9,Raw,Morphometrics,0.95,0.020408163,5
10,Raw,Morphometrics,1.0,0.0,5
0,Raw,Omnipose,0.5,0.9072165,6
1,Raw,Omnipose,0.55,0.8969072,6
2,Raw,Omnipose,0.6,0.8969072,6
3,Raw,Omnipose,0.65,0.8969072,6
4,Raw,Omnipose,0.7,0.8969072,6
5,Raw,Omnipose,0.75,0.88659793,6
6,Raw,Omnipose,0.8,0.88659793,6
7,Raw,Omnipose,0.85,0.88659793,6
8,Raw,Omnipose,0.9,0.8659794,6
9,Raw,Omnipose,0.95,0.58762884,6
10,Raw,Omnipose,1.0,0.0,6
0,Raw,Cellpose-SAM,0.5,0.9255319,6
1,Raw,Cellpose-SAM,0.55,0.90425533,6
2,Raw,Cellpose-SAM,0.6,0.90425533,6
3,Raw,Cellpose-SAM,0.65,0.90425533,6
4,Raw,Cellpose-SAM,0.7,0.90425533,6
5,Raw,Cellpose-SAM,0.75,0.90425533,6
6,Raw,Cellpose-SAM,0.8,0.89361703,6
7,Raw,Cellpose-SAM,0.85,0.89361703,6
8,Raw,Cellpose-SAM,0.9,0.84042555,6
9,Raw,Cellpose-SAM,0.95,0.3617021,6
10,Raw,Cellpose-SAM,1.0,0.0,6
0,Raw,microSAM,0.5,0.7297297,6
1,Raw,microSAM,0.55,0.7027027,6
2,Raw,microSAM,0.6,0.7027027,6
3,Raw,microSAM,0.65,0.6936937,6
4,Raw,microSAM,0.7,0.6846847,6
5,Raw,microSAM,0.75,0.6576577,6
6,Raw,microSAM,0.8,0.5855856,6
7,Raw,microSAM,0.85,0.3783784,6
8,Raw,microSAM,0.9,0.09009009,6
9,Raw,microSAM,0.95,0.009009009,6
10,Raw,microSAM,1.0,0.0,6
0,Raw,Cellpose3,0.5,0.82474226,6
1,Raw,Cellpose3,0.55,0.814433,6
2,Raw,Cellpose3,0.6,0.814433,6
3,Raw,Cellpose3,0.65,0.814433,6
4,Raw,Cellpose3,0.7,0.814433,6
5,Raw,Cellpose3,0.75,0.8041237,6
6,Raw,Cellpose3,0.8,0.7938144,6
7,Raw,Cellpose3,0.85,0.7010309,6
8,Raw,Cellpose3,0.9,0.48453608,6
9,Raw,Cellpose3,0.95,0.020618556,6
10,Raw,Cellpose3,1.0,0.0,6
0,Raw,Morphometrics,0.5,0.85561496,6
1,Raw,Morphometrics,0.55,0.85561496,6
2,Raw,Morphometrics,0.6,0.85561496,6
3,Raw,Morphometrics,0.65,0.85561496,6
4,Raw,Morphometrics,0.7,0.8449198,6
5,Raw,Morphometrics,0.75,0.8235294,6
6,Raw,Morphometrics,0.8,0.7914438,6
