,Target,Image_full_path,Image,label,Width,Length,SurfaceArea,Volume
29,FM 4-64,/Users/reyesmatte/Desktop/copypasta/20260227/processed_masks/C1 - JLG3576_004_R3D_D3D_cp_masks_FM.tif,C1 - JLG3576_004_R3D_D3D_cp_masks_FM.tif,6,0.7460186993699045,4.462678614215529,9.184716611882166,1.6053609878374306
30,FM 4-64,/Users/reyesmatte/Desktop/copypasta/20260227/processed_masks/C1 - JLG3576_004_R3D_D3D_cp_masks_FM.tif,C1 - JLG3576_004_R3D_D3D_cp_masks_FM.tif,7,0.6997804303538265,4.627237441376454,8.27730409896104,1.3932851012515926
31,FM 4-64,/Users/reyesmatte/Desktop/copypasta/20260227/processed_masks/C1 - JLG3576_004_R3D_D3D_cp_masks_FM.tif,C1 - JLG3576_004_R3D_D3D_cp_masks_FM.tif,8,0.6861116392843832,4.110010006498147,7.21512567461699,1.1625530111313132
32,FM 4-64,/Users/reyesmatte/Desktop/copypasta/20260227/processed_masks/C1 - JLG3576_005_R3D_D3D_cp_masks_FM.tif,C1 - JLG3576_005_R3D_D3D_cp_masks_FM.tif,1,0.33588976516815505,1.6208198681897314,1.8421149724360448,0.17137837715583576
33,FM 4-64,/Users/reyesmatte/Desktop/copypasta/20260227/processed_masks/C1 - JLG3576_005_R3D_D3D_cp_masks_FM.tif,C1 - JLG3576_005_R3D_D3D_cp_masks_FM.tif,3,0.7160091046554462,3.071368854996024,5.702753693961626,0.9546291700720403
34,FM 4-64,/Users/reyesmatte/Desktop/copypasta/20260227/processed_masks/C1 - JLG3576_005_R3D_D3D_cp_masks_FM.tif,C1 - JLG3576_005_R3D_D3D_cp_masks_FM.tif,4,0.6939913866975982,2.9493551549957684,5.424825748543685,0.9118899008488086
35,FM 4-64,/Users/reyesmatte/Desktop/copypasta/20260227/processed_masks/C1 - JLG3576_005_R3D_D3D_cp_masks_FM.tif,C1 - JLG3576_005_R3D_D3D_cp_masks_FM.tif,7,0.6489156667893671,2.8719858197804866,4.46674550946421,0.6800222578541536
36,FM 4-64,/Users/reyesmatte/Desktop/copypasta/20260227/processed_masks/C1 - JLG3576_005_R3D_D3D_cp_masks_FM.tif,C1 - JLG3576_005_R3D_D3D_cp_masks_FM.tif,8,0.7129578999431074,3.2663049808085787,6.28356195281363,1.026125239061151
37,FM 4-64,/Users/reyesmatte/Desktop/copypasta/20260227/processed_masks/C1 - JLG3576_005_R3D_D3D_cp_masks_FM.tif,C1 - JLG3576_005_R3D_D3D_cp_masks_FM.tif,9,0.7283322806619503,2.8212624993867923,5.284115811584387,0.8613741428400332
38,FM 4-64,/Users/reyesmatte/Desktop/copypasta/20260227/processed_masks/C1 - JLG3576_005_R3D_D3D_cp_masks_FM.tif,C1 - JLG3576_005_R3D_D3D_cp_masks_FM.tif,10,0.7330866038105556,2.9180889131971535,5.370038427110365,0.88878462595762
39,FM 4-64,/Users/reyesmatte/Desktop/copypasta/20260227/processed_masks/C1 - JLG3576_005_R3D_D3D_cp_masks_FM.tif,C1 - JLG3576_005_R3D_D3D_cp_masks_FM.tif,11,0.7313961737356964,3.369588913197153,5.979989600144923,1.0160671817465738
40,FM 4-64,/Users/reyesmatte/Desktop/copypasta/20260227/processed_masks/C1 - JLG3576_005_R3D_D3D_cp_masks_FM.tif,C1 - JLG3576_005_R3D_D3D_cp_masks_FM.tif,12,0.7359395957714495,3.498588913197153,6.309542457068615,1.0818214000680086
