Channel,Distance_(um),Y0,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20,Y21,Y22,Y23,Y24,Y25,Y26,Y27,Y28,Y29,Y30,Y31,Y32,Y33,Y34,Y35,Y36,Y37,Y38
FM,0.645,14753,14377.443,14525.376,15812.438,14799.604,15682.398,14376.368,15452.7,14103.503,13448.9,13652.707,12964.39,13400.65,13221.28,11213,11327.2,14531.25,20885.301,11842.3,11428,10074.68,9165.1,13941.6,12804.79,11586.17,11916.72,12957.15,14843.777,11484.98,9574.48,10247.5,11094.53,11272.875,10629.8,16345.742,11336.65,11335.76,12874.275,10593.36
FM,0.7095,14292.32,13961.987,13632.849,14735.109,13946.219,15111.222,13736.316,14018.36,13453.3,13122.904,13027.201,12294.091,13178.54,12837.963,11337.68,11229.143,13892.737,19421.41,11301.91,10923.33,9469.605,8792.802,13443.87,12732.563,10994.776,11528.827,12374.316,12630.387,11185.113,9374.886,9470.247,10710.095,10787.738,10509.324,15780.432,9740.104,10789.465,12393.234,10082.869
FM,0.774,14100.6,13932.368,13853.033,14319.606,14156.659,15070.191,13907.73,13933.7,13278.718,13220.12,12810.826,11985.038,12943.796,12806.514,11338.04,11191.985,13454.856,18781.961,11301.03,10975.75,9276.949,8770.68,13204.248,12696.332,11286.124,11357.944,12072.317,11675.144,10788.502,9531.144,9490.18,10314.31,10755.008,10330.44,14838.899,9115.668,10574.007,12690.478,9951.128
FM,0.8385,14321.96,14097.522,13738.216,14263.036,13808.403,14980.295,14325.904,13637.2,13351.593,13177.411,12886.654,11912.567,12828.229,12772.501,11701.76,11313.985,13381.716,19105.58,11618.55,11042.1,9233.692,8694.562,13335.688,12912.878,11564.024,11576,11979.967,11636.766,10739.078,9402.743,9335.962,10543.037,10551.69,10328.692,13949.936,9112.502,10585.808,12793.678,9901.61
FM,0.903,14437.96,14347.211,13829.511,14424.584,14125.427,15428.155,14562.242,13391.48,13636.47,13511.992,12909.45,12225.989,12924.252,13413.742,11771.9,11419.29,13462.61,19602.08,11734.37,11373.165,9235.066,8971.188,13860.908,13699.35,11956.982,11592.533,12126.934,11680.077,10853.362,9559.053,9278.093,10743.244,10504.223,10375.288,12683.767,8917.462,10701.661,12931.499,10016.78
FM,0.9675,15149,14987.104,14186.719,14737.277,14665.834,16301.668,15829.596,14068.6,14536.248,14995.244,13360.073,12284.585,13340.28,14432.175,12893.8,11676.6,13699.037,21686.9,12450.75,11762.15,9525.51,9233.45,15149,15407.98,12593.61,12198.98,12351.44,11754.022,11311.13,9887.8,9485.325,11117.88,10735.5,11095.3,12001.32,8900.1,11139.06,13660.325,10498.36
FM,1.032,16030.8,16618.609,15287.084,15924.751,16686.561,18286.326,18570.77,14488.86,16469.738,17386.295,14464.916,13345.369,14171.995,16633.209,14450.02,12560.168,14488.264,23938.881,13636.94,12559.925,10286.055,9926.48,17459.219,17788.904,13915.358,13682.646,12894.578,11940.969,12492.341,10656.581,10117.02,12304.94,11678.95,12671.784,12301.938,9397.69,11947.984,14840.748,11507.688
FM,1.0965,18102.961,19119.078,16880.92,18145.172,18659.99,21514.943,22011.631,16172.16,19098.973,20215.34,16479.934,14739.523,15638.345,19648.43,17018.92,14501.539,16283.83,27452.711,15769.73,14284.1,11481.688,11212.759,19028.168,20326.205,15913.239,15785.62,14805.038,12676.149,14596.746,12865.133,11765.26,13909.137,13339.754,14887.256,13287.312,10051.708,13598.851,16973.035,13024.055
FM,1.161,20345.84,22056.932,20295.045,20636.795,21122.332,24147.363,24194.52,18795.301,21422.818,22516.662,18954.748,17386.135,18665.504,21944.859,19632.881,17087.607,19471.682,28493.92,17740,16340.25,13478.675,12928.172,19241.115,21266.281,17728.316,17735.541,16926.34,14199.67,17093.721,15397.622,13277.729,16227.493,15290.384,16762.199,15268.782,11200.276,15823.805,19397.113,15056.038
FM,1.2255,21931.48,23625.732,23098.562,22054.895,21561.824,25382.268,24191.098,21228.48,21951.031,22483.445,21180.883,19969.475,20999.133,21812.9,20559.6,19322.863,22657.318,27527.211,18953.77,17854.4,15556.113,14675.844,17959.689,20131.299,18220.738,18744.766,18758.418,16162.656,17831.441,16259.226,15341.464,17994.494,17253.641,17217.451,17038.955,13555.309,18183.326,20979.018,16791.691
FM,1.29,22016,22850.768,24167.17,21889.371,20683.922,23985.191,21392.307,22638.699,19977.703,20133.611,21600.688,20810.039,22213,19278.225,18562.6,19916.801,24153.4,23649.4,18447.949,17909.699,16241.08,15578.2,15175.45,17199.07,17253.59,18092.119,18808.43,18586.051,16803.039,15821.4,15806.3,17727.16,17579.801,15555.2,18034.512,15509.8,18862.641,20856.801,17100.84
FM,1.3545,19259,19895.176,22804.381,19916.762,17818.156,19361.49,17090.682,21262.92,16979.953,16040.199,19729.877,19343.607,21524.736,15702.916,15272.28,18439.766,22980.742,18560.16,15330.28,16107.98,15325.509,14296.977,12278.016,13558.201,14614.998,15249.902,16779.014,20160.256,14207.543,13663.348,14805.472,15948.577,15781.912,12643.844,16973.906,16364.204,17594.154,18567.969,15352.655
FM,1.419,15926.8,15529.759,19144.727,16104.992,14393.129,14760.191,12522.532,18279.5,13464.675,12099.412,16000.49,16293.002,18877.469,11915.682,12030.66,15097.293,18690.254,14000.72,12157.18,13230.01,13275.205,11992.564,9744.85,10396.997,11820.697,11934.696,13864.779,19626.961,11304.949,10684.082,12579.46,12970.563,12760.102,10037.76,14256.146,15312.712,14849.461,15905.106,12549.328
