,Representation,label,Width,Length,SurfaceArea,Volume
38,Medial axis,1,0.6916598702070977,5.459074788476957,8.218398289665847,1.3516852058942845
39,Medial axis,1,0.7341603809350977,3.020067702459217,6.81029980472659,1.1558987161793393
40,Medial axis,1,0.6642086352584342,3.1784504620921714,5.524133291606161,0.9193818950315865
41,Medial axis,1,0.6927317346529065,2.7556171610664775,5.422411529671418,0.866292014750202
42,Medial axis,1,0.6837449952066261,3.9634218221329545,7.606082071791255,1.254772269533576
43,Medial axis,1,0.7242299481573725,3.55894685067464,7.240334886762982,1.3009378979886903
44,Medial axis,1,0.684793107521227,2.4423228608625642,4.148082706377568,0.7070223739060504
45,Medial axis,1,0.7123497200401613,3.1296067032809978,5.6365009509307455,0.9132021206072983
46,Medial axis,1,0.6644106237895442,3.3875754532809976,5.883575471704626,0.9030897624584631
47,Medial axis,1,0.643763810071963,2.6045025659849124,4.592419999252072,0.730617876253332
48,Medial axis,1,0.7056922842861694,1.8683749647553036,3.451349955720489,0.5196628493151344
49,Medial axis,1,0.6961753054187539,2.706773402255304,5.256087261850564,0.828932469367006
50,Medial axis,1,0.6973022634209294,3.065114515780998,5.341677293660109,0.9337077357424362
51,Medial axis,1,0.5903269200650886,2.297690057173738,3.5499870784240066,0.5191010516401992
52,Medial axis,1,0.6934361994219369,2.110695286066478,4.11658144964139,0.628370699415111
53,Medial axis,1,0.6432253474021327,6.200272003245782,6.308788261179526,1.0098313206961664
54,Medial axis,1,0.7243665393118179,2.4636053041018027,4.991825327483967,0.8148553472171812
55,Medial axis,1,0.7513122488763596,2.582372345903347,4.959992710235383,0.8306178623918121
56,Medial axis,1,0.6592076962456815,2.1706041549184345,4.285609110879455,0.7120785529804677
57,Medial axis,1,0.6128973849027722,5.004993915963839,5.646586542091905,0.8662920147502025
58,Medial axis,1,0.6891064306283187,4.085924405740214,7.546187126710287,1.2254872078637349
59,Medial axis,1,0.6660662664331183,4.2729191768474735,7.157088365252483,1.1856739929509093
60,Medial axis,1,0.6603125613516749,3.233335099248288,5.195776435709084,0.7926742316983695
61,Medial axis,1,0.6104148876868074,2.453387970903347,3.8217760854163605,0.5930490284673949
62,Medial axis,1,0.7245360932721894,5.771507729507116,8.672644828404769,1.4812214280247795
63,Medial axis,1,0.7647645118380975,2.291233320756206,4.820043699031409,0.8118930219575287
64,Medial axis,1,0.6449936905695156,4.627348158263375,8.128282497188662,1.30702229073693
