,Sampling iteration,Image_full_path,Image,label,Width,Length,SurfaceArea,Volume
42,0,/Users/reyesmatte/Desktop/copypasta/20260226/processed_masks/PY79_48_cp_masks.tif,PY79_48_cp_masks.tif,18,0.7860629439495632,3.7617249362416136,7.544046369693816,1.3998036657054747
43,0,/Users/reyesmatte/Desktop/copypasta/20260226/processed_masks/PY79_48_cp_masks.tif,PY79_48_cp_masks.tif,20,0.8023375989420363,4.212978152810793,10.700591379004162,2.0205402893723816
44,0,/Users/reyesmatte/Desktop/copypasta/20260226/processed_masks/PY79_48_cp_masks.tif,PY79_48_cp_masks.tif,22,0.794061648220207,4.295375052822292,9.177699521649576,1.6941035454239817
45,0,/Users/reyesmatte/Desktop/copypasta/20260226/processed_masks/PY79_48_cp_masks.tif,PY79_48_cp_masks.tif,24,0.7893296982586313,6.494290618296989,15.484567334940758,2.9439151983369176
46,0,/Users/reyesmatte/Desktop/copypasta/20260226/processed_masks/PY79_48_cp_masks.tif,PY79_48_cp_masks.tif,25,0.7740875626694986,7.771186044437771,12.57268386671314,2.318539004457902
47,0,/Users/reyesmatte/Desktop/copypasta/20260226/processed_masks/PY79_48_cp_masks.tif,PY79_48_cp_masks.tif,26,0.7836886629153549,7.970663171381237,16.264226917159462,3.1081977689517064
48,0,/Users/reyesmatte/Desktop/copypasta/20260226/processed_masks/PY79_48_cp_masks.tif,PY79_48_cp_masks.tif,27,0.7890529652597953,4.57088262552897,10.168630107006194,1.8793899518732144
49,0,/Users/reyesmatte/Desktop/copypasta/20260226/processed_masks/PY79_48_cp_masks.tif,PY79_48_cp_masks.tif,28,0.8324726453222161,4.439682200617864,9.352756079390014,1.810393007478941
50,0,/Users/reyesmatte/Desktop/copypasta/20260226/processed_masks/PY79_48_cp_masks.tif,PY79_48_cp_masks.tif,29,0.7612324994071704,4.7568446446465265,9.899089582090161,1.7775436264900877
51,0,/Users/reyesmatte/Desktop/copypasta/20260226/processed_masks/PY79_48_cp_masks.tif,PY79_48_cp_masks.tif,32,0.8244876463724786,4.3716210416637225,9.952164731873557,1.9132238675898348
