,Method,Width_mu,Width_sigma,Length_mu,Length_sigma,SurfaceArea_mu,SurfaceArea_sigma,Volume_mu,Volume_sigma
98,Automatic,0.9512068103567667,0.0012065278937160224,4.007301684083827,0.018839037008272285,11.86328353952328,0.018980486043025456,2.630155653301171,0.006218180943490599
99,Automatic,1.0281510822479247,0.001644462508744315,3.417308936170751,0.014241488792345965,10.787984230205508,0.017506965849933886,2.493509453127466,0.0049589020562123215
100,Automatic,0.9882195852036634,0.0014716848072222509,4.952458163130888,0.02859582295743136,15.956410492625587,0.03399236870850649,3.7012594327232775,0.00969461420791591
101,Automatic,0.9928822952136521,0.0015038082152285539,4.004594672383624,0.02010139282868137,12.404977959779819,0.02319762082583938,2.831638982068968,0.0063783416331943486
102,Automatic,1.0365030075837809,0.0016569153699085937,4.5049611208061195,0.024016050802653184,12.17716282462074,0.020888499624117783,2.8706088217650962,0.0062335863076400135
103,Automatic,0.9595288490699765,0.0012716439255432267,3.7657755180404346,0.017626586685419998,11.69681409351387,0.02058418950500383,2.597044491487315,0.005119392815316957
104,Automatic,0.9376457641256257,0.0013294151302127692,4.4063939564418355,0.025839205275052807,11.159256715632052,0.01922423598150631,2.4732298916662767,0.005497344599964621
105,Automatic,0.9269848692356897,0.0011615905393530278,2.9862739537839196,0.013135936021931095,7.326570389256966,0.0094026000167031,1.4927301036795213,0.002507312607576404
106,Automatic,0.9676272019666147,0.00125218916413352,3.964418720501241,0.01884532862960815,9.587153589110589,0.013535300965961235,2.1259534125907713,0.004061852164388869
107,Automatic,0.9944262863988844,0.001379624709871114,2.5399962296181675,0.013916146996453932,7.7586291905573725,0.009793250137819485,1.6727730781912764,0.0029278509431357896
108,Automatic,1.0034408075682362,0.001717877103616972,5.217094977650386,0.03663369762757428,14.246968780047744,0.026561931144216133,3.3272862915390307,0.007225453923458649
109,Automatic,0.9791593023787077,0.001409929754119176,4.898991229477702,0.03105513485970614,15.240854956598675,0.03100496986735157,3.4987396516993385,0.008406502595317014
110,Automatic,0.9354013218543947,0.0011398042425438098,4.77823384847122,0.03001799001753828,10.939924472108792,0.01598687933363164,2.3674773574501278,0.004938438341721779
111,Automatic,0.895401764580372,0.001036929934250303,4.862271961640521,0.03060063368558432,10.964244317507116,0.01879077530145709,2.2973023170564564,0.00439978507384525
