,Method,SurfaceArea
1245,FP2FM,10.37140193097959
1246,FP2FM,13.037191334080902
1247,FP2FM,21.42605972124107
1248,FP2FM,9.982586868713627
1249,FP2FM,5.902790163423066
1250,FP2FM,10.740820240197696
1251,FP2FM,9.365370680826688
1252,FP2FM,17.610964868074262
1253,FP2FM,10.0296915308751
1254,FP2FM,18.81825905620064
1255,FP2FM,9.756802905461909
1256,FP2FM,16.099832579602744
1257,FP2FM,9.61142867158859
1258,FP2FM,10.037333438119425
1259,FP2FM,13.86840026384887
1260,FP2FM,9.532194121372315
1261,FP2FM,12.043998850153441
1262,FP2FM,9.646275952309722
1263,FP2FM,13.006377310290928
1264,FP2FM,17.64131009908072
1265,FP2FM,14.450843581070528
1266,FP2FM,15.509996367284852
1267,FP2FM,10.709855350672054
1268,FP2FM,5.460158532377102
1269,FP2FM,15.536167609484488
1271,FP2FM,14.774081660042917
1272,FP2FM,17.182702980174437
1273,FP2FM,19.55079433632672
1274,FP2FM,14.464139218353798
1275,FP2FM,12.848848343605908
1276,FP2FM,7.951323829896096
1277,FP2FM,4.2298972216202175
1278,FP2FM,1.8985770567652025
1279,FP2FM,11.170071989059457
1281,FP2FM,2.687311064735046
1282,FP2FM,2.7225750121794583
1283,FP2FM,13.140339296966467
1285,FP2FM,12.03003692271245
1286,FP2FM,13.689330509337822
1287,FP2FM,17.735955104320347
1288,FP2FM,16.401214612879535
1289,FP2FM,13.179034618550599
1290,FP2FM,12.762798662641465
1291,FP2FM,12.973119920622588
1292,FP2FM,12.524869100252975
1294,FP2FM,15.794732747215448
1295,FP2FM,8.71802599070329
1296,FP2FM,11.684283386205692
1297,FP2FM,8.562596392405345
1298,FP2FM,11.953570377702174
1299,FP2FM,14.71198763108908
1300,FP2FM,17.982920527066142
1301,FP2FM,13.472366447154062
1302,FP2FM,15.900518286294716
1303,FP2FM,13.506376297681658
1304,FP2FM,14.86827489184966
1305,FP2FM,14.118203256203843
1306,FP2FM,18.348718260749525
1307,FP2FM,0.8447469713575168
1308,FP2FM,15.023993486724729
1309,FP2FM,14.692687579851768
1310,FP2FM,16.15318108003902
1311,FP2FM,17.148546351869967
1312,FP2FM,14.828713894820577
1313,FP2FM,11.034957573274708
1314,FP2FM,11.314458706962034
1315,FP2FM,13.488839553541318
1316,FP2FM,8.139528980074488
1317,FP2FM,9.829834606019594
1318,FP2FM,8.747747194234389
1319,FP2FM,9.280801201318923
1320,FP2FM,17.0760838781159
1321,FP2FM,8.06380720182145
1322,FP2FM,20.769967746566028
1323,FP2FM,19.336651535106952
1324,FP2FM,10.095714436691992
1325,FP2FM,8.08509954331687
1326,FP2FM,19.21183456855606
1327,FP2FM,13.61680096717709
1328,FP2FM,14.18340230210355
1329,FP2FM,12.776897058668839
1330,FP2FM,18.772322493409423
1331,FP2FM,19.075872411467955
1332,FP2FM,23.37111271386807
1333,FP2FM,22.016031631321628
1334,FP2FM,13.355407822059867
1335,FP2FM,8.86549747951385
1336,FP2FM,8.791347297550715
1337,FP2FM,14.750302054263024
1338,FP2FM,14.307349782047096
1339,FP2FM,15.233640719017181
1340,FP2FM,14.44529717892309
1341,FP2FM,12.814817144895143
1342,FP2FM,2.8904210154463663
1343,FP2FM,12.059195806000513
1345,FP2FM,12.53882800344866
1346,FP2FM,12.653116922057073
1347,FP2FM,7.27891797002682
1348,FP2FM,5.338831172783612
1349,FP2FM,11.057183463999257
1351,FP2FM,8.26995993851464
1352,FP2FM,14.260770883498816
1353,FP2FM,15.220528868066197
1354,FP2FM,13.48779649329342
1355,FP2FM,18.810124304102082
1356,FP2FM,22.037204878688172
1357,FP2FM,17.874999547423396
1358,FP2FM,22.081662113860826
1359,FP2FM,13.581807092568017
1360,FP2FM,10.81642970820186
1361,FP2FM,20.327070763693133
1362,FP2FM,21.006722269768982
1363,FP2FM,20.87844375847922
1364,FP2FM,10.003953050450598
1365,FP2FM,10.298225552376225
1366,FP2FM,13.361170133755444
1367,FP2FM,20.242927410498424
1368,FP2FM,11.103750685574393
1369,FP2FM,10.885311743305824
1370,FP2FM,13.322530943356329
1371,FP2FM,24.17219753522482
1372,FP2FM,10.733972179709324
1373,FP2FM,13.734965114770635
1374,FP2FM,13.694801374231288
1375,FP2FM,13.087104488001648
1376,FP2FM,15.734370048142168
1377,FP2FM,12.444841396812983
1378,FP2FM,9.090359771119935
1379,FP2FM,8.122968673925023
1380,FP2FM,14.532359670703839
1381,FP2FM,12.459618024558536
