,Method,Length
1265,FP2FM,7.293058077642041
1266,FP2FM,7.09068533313489
1267,FP2FM,5.205233241455636
1268,FP2FM,2.963597897484531
1269,FP2FM,7.053335764311978
1271,FP2FM,6.863284277513826
1272,FP2FM,7.947846125174538
1273,FP2FM,8.169863500813495
1274,FP2FM,7.522706102569866
1275,FP2FM,5.759112218172652
1276,FP2FM,3.9340946358353537
1277,FP2FM,2.232773981252574
1278,FP2FM,1.4169296522553037
1279,FP2FM,4.602778951660765
1281,FP2FM,1.1765078036888257
1282,FP2FM,1.2677135299184346
1283,FP2FM,8.492300111950632
1285,FP2FM,6.270705417388143
1286,FP2FM,6.709459781553705
1287,FP2FM,7.810386211243872
1288,FP2FM,6.88279469690826
1289,FP2FM,5.610921736762947
1290,FP2FM,5.756993707321397
1291,FP2FM,5.494386955935843
1292,FP2FM,5.168704465242711
1293,FP2FM,9.478453089755304
1294,FP2FM,7.255371058482924
1295,FP2FM,4.34762869754593
1296,FP2FM,4.645274569061018
1297,FP2FM,3.8298541284849117
1298,FP2FM,4.4969062235664765
1299,FP2FM,7.0834252473103465
1300,FP2FM,6.590725794737682
1301,FP2FM,6.395289355809305
1302,FP2FM,5.980381285286259
1303,FP2FM,5.24222551706738
1304,FP2FM,5.346532599053886
1305,FP2FM,5.722420614013103
1306,FP2FM,6.54742426568891
1307,FP2FM,0.7628411399592173
1308,FP2FM,7.022442086233901
1309,FP2FM,6.871751379573499
1310,FP2FM,7.158307086072596
1311,FP2FM,7.5184111816950345
1312,FP2FM,6.304725328715101
1313,FP2FM,4.673486767143649
1314,FP2FM,4.73212095836791
1315,FP2FM,5.391579412375665
1316,FP2FM,3.2425494630128475
1317,FP2FM,4.1041708424101495
1318,FP2FM,4.2950493969290395
1319,FP2FM,4.242187723267351
1320,FP2FM,7.674471830067108
1321,FP2FM,3.720253723979453
1322,FP2FM,9.16124634059822
1323,FP2FM,7.496872601545749
1324,FP2FM,4.072174449796086
1325,FP2FM,3.7497135122960863
1326,FP2FM,7.944553373646055
1327,FP2FM,5.680845019753315
1328,FP2FM,7.056707436340456
1329,FP2FM,5.91020175827901
1330,FP2FM,8.137849361563706
1331,FP2FM,8.092239196416852
1332,FP2FM,8.704546839755302
1333,FP2FM,8.515816423849971
1334,FP2FM,5.369474247269308
1335,FP2FM,4.511294311063339
1336,FP2FM,4.12511623515046
1337,FP2FM,6.075555343814494
1338,FP2FM,6.090503745017178
1339,FP2FM,6.369391438737299
1340,FP2FM,6.418775287371665
1341,FP2FM,5.764754216419451
1342,FP2FM,1.8573098547145206
1343,FP2FM,6.05467173402121
1345,FP2FM,5.538718594434327
1346,FP2FM,6.043606623980426
1347,FP2FM,3.667766499928442
1348,FP2FM,2.669122417717742
1349,FP2FM,5.162222673849971
1351,FP2FM,4.281263092276441
1352,FP2FM,6.578576933809009
1353,FP2FM,5.777123099140758
1354,FP2FM,5.163958318648042
1355,FP2FM,8.026429634632954
1357,FP2FM,7.3144321504925545
1358,FP2FM,8.756075444469822
1359,FP2FM,5.971846271929038
1360,FP2FM,5.568045780731927
1361,FP2FM,8.110117459908162
1362,FP2FM,11.472058490418158
1364,FP2FM,4.92513427137407
1365,FP2FM,4.659319954970805
1366,FP2FM,6.198589362886739
1367,FP2FM,9.206974061181299
1368,FP2FM,5.205059944874513
1369,FP2FM,4.800548594369465
1370,FP2FM,6.066753137292086
1371,FP2FM,11.495201003130518
1372,FP2FM,4.93680113392085
1373,FP2FM,8.317754350730398
1374,FP2FM,6.666561106845484
1375,FP2FM,6.638413074905761
1376,FP2FM,7.17916564089067
1377,FP2FM,5.379775070692505
1378,FP2FM,4.65296662203357
1379,FP2FM,3.8483502310237094
1380,FP2FM,5.704710884632954
1381,FP2FM,5.052108280731928
1382,FP2FM,5.839164007950817
1383,FP2FM,6.299216183970334
1384,FP2FM,4.92157659365319
1385,FP2FM,7.97431424301649
1386,FP2FM,3.374463628889603
1387,FP2FM,7.889299021777491
1388,FP2FM,5.429893239015991
1389,FP2FM,3.8363359198776514
1390,FP2FM,6.419758961683368
1391,FP2FM,5.496697922496026
1392,FP2FM,6.575683869502507
1393,FP2FM,4.704295569957231
1395,FP2FM,1.895088503484912
1396,FP2FM,1.7206164021153338
1397,FP2FM,5.468872354714519
1398,FP2FM,6.020596471871811
1399,FP2FM,5.339289239572728
1400,FP2FM,6.495102046430844
1401,FP2FM,3.194529659823134
1402,FP2FM,3.033817658403346
1403,FP2FM,9.934326780829792
1404,FP2FM,5.9633791698693654
1405,FP2FM,5.670371299739831
1406,FP2FM,2.329686449787802
1407,FP2FM,2.8735364260256944
1408,FP2FM,5.951777352538796
1409,FP2FM,5.389543166659549
1410,FP2FM,3.9352405797007854
1411,FP2FM,4.969572575622036
1412,FP2FM,4.696614841056205
1413,FP2FM,5.784790097138099
1414,FP2FM,4.5238317216757995
1415,FP2FM,5.188711980949274
1416,FP2FM,5.321564499774023
1417,FP2FM,4.472902585715423
1418,FP2FM,4.103496362148946
1419,FP2FM,5.360953491631284
1420,FP2FM,4.702397097212534
1421,FP2FM,5.756394238567255
1422,FP2FM,7.0109186850996785
1423,FP2FM,4.671263067781509
1424,FP2FM,6.583597871781899
1425,FP2FM,4.630636745161146
1426,FP2FM,6.2262059593614785
1428,FP2FM,4.940833635112078
1429,FP2FM,4.878326758279011
1430,FP2FM,4.020488635041931
1431,FP2FM,11.223213371317303
1432,FP2FM,4.551844264395963
1433,FP2FM,4.252917703001057
1434,FP2FM,6.894544755844744
1435,FP2FM,7.231904127921657
1436,FP2FM,3.8767994145513884
1437,FP2FM,4.819367161066476
