Method,area_convex
FM2FM,5.04932009
FM2FM,8.093885416
FM2FM,5.75223203
FM2FM,4.204993913
FM2FM,4.729058437
FM2FM,8.954848561
FM2FM,4.200834671
FM2FM,4.999409183
FM2FM,5.423651892
FM2FM,5.061797816
FM2FM,7.336903326
FM2FM,11.14260998
FM2FM,8.609631454
FM2FM,5.411174165
FM2FM,6.708857747
FM2FM,8.47237646
FM2FM,2.31253869
FM2FM,3.31075683
FM2FM,1.634582204
FM2FM,3.464648793
FM2FM,2.919788058
FM2FM,5.569225371
FM2FM,0.94414799
FM2FM,5.340467047
FM2FM,1.726085533
FM2FM,4.504459355
FM2FM,4.367204361
FM2FM,5.311352351
FM2FM,6.097449136
FM2FM,4.837198735
FM2FM,6.550806541
FM2FM,6.683902293
FM2FM,3.5145597
FM2FM,4.504459355
FM2FM,4.824721008
FM2FM,4.5876442
FM2FM,4.99524994
FM2FM,4.225790125
FM2FM,5.219849022
FM2FM,5.032683121
FM2FM,3.992872559
FM2FM,5.269759929
FM2FM,5.951875658
FM2FM,4.396319057
FM2FM,3.593585303
FM2FM,6.267978069
FM2FM,4.546051778
FM2FM,5.490199768
FM2FM,3.772432719
FM2FM,6.334525945
FM2FM,5.748072787
FM2FM,5.336307805
FM2FM,4.970294487
FM2FM,6.305411249
FM2FM,7.915037999
FM2FM,4.363045119
FM2FM,4.45870769
FM2FM,6.758768654
FM2FM,5.502677495
FM2FM,5.25312296
FM2FM,4.038624223
FM2FM,6.026742018
FM2FM,8.580516759
FM2FM,5.506836737
FM2FM,3.972076347
FM2FM,4.163401491
FM2FM,5.169938115
FM2FM,4.841357977
FM2FM,8.634586908
FM2FM,7.341062569
FM2FM,7.723712856
FM2FM,10.34819471
FM2FM,4.770650859
FM2FM,5.153301146
FM2FM,6.816998045
FM2FM,5.440288861
FM2FM,6.500895634
FM2FM,9.478913084
FM2FM,4.388000572
FM2FM,6.176474739
FM2FM,5.149141904
FM2FM,4.67914753
FM2FM,4.379682088
FM2FM,5.390377954
FM2FM,4.163401491
FM2FM,5.527632948
FM2FM,7.095667276
FM2FM,5.036842363
FM2FM,4.841357977
FM2FM,4.204993913
FM2FM,6.176474739
FM2FM,5.939397931
FM2FM,8.455739491
FM2FM,4.171719975
FM2FM,6.95425304
FM2FM,6.717176231
FM2FM,4.533574051
FM2FM,7.070711823
