Method,Length
FM2FM,4.814850864
FM2FM,4.344519963
FM2FM,3.909570856
FM2FM,4.572865049
FM2FM,8.12807152
FM2FM,10.19921632
FM2FM,4.899471429
FM2FM,4.909485843
FM2FM,4.343918211
FM2FM,4.281462269
FM2FM,6.883098326
FM2FM,4.030598856
FM2FM,4.372130598
FM2FM,5.269725429
FM2FM,3.710199219
FM2FM,6.496950409
FM2FM,4.702397097
FM2FM,4.006538008
FM2FM,5.116734947
FM2FM,6.257803238
FM2FM,4.681154745
FM2FM,8.796610657
FM2FM,5.088339617
FM2FM,7.564737266
FM2FM,6.542022278
FM2FM,7.375051023
FM2FM,8.016175953
FM2FM,8.282524967
FM2FM,3.236623686
FM2FM,3.274843236
FM2FM,6.939192736
FM2FM,6.704780657
FM2FM,5.640289895
FM2FM,8.829213934
FM2FM,6.718553691
FM2FM,5.874158754
FM2FM,7.598527723
FM2FM,5.071088146
FM2FM,5.38693469
FM2FM,5.775199571
FM2FM,6.176953348
FM2FM,5.175237672
FM2FM,3.891176178
FM2FM,5.550911444
FM2FM,7.645958301
FM2FM,9.516868353
FM2FM,6.216632958
FM2FM,5.904256674
FM2FM,3.952356712
FM2FM,7.589410216
FM2FM,3.939443239
FM2FM,1.09174752
FM2FM,1.823266748
FM2FM,1.025393209
FM2FM,5.179793652
FM2FM,2.468437659
FM2FM,1.066907399
FM2FM,2.297690057
FM2FM,7.300906906
FM2FM,3.848190415
FM2FM,7.759131349
FM2FM,2.479677621
FM2FM,2.184516939
FM2FM,8.38910433
FM2FM,4.856909554
FM2FM,8.935316759
FM2FM,6.386951171
FM2FM,6.165322834
FM2FM,6.030483476
FM2FM,6.062956192
FM2FM,5.31475045
FM2FM,5.927788751
FM2FM,6.305049855
FM2FM,5.301185114
FM2FM,5.151694271
FM2FM,1.643831818
FM2FM,5.844923198
FM2FM,5.200164151
FM2FM,4.489983519
FM2FM,7.343211664
FM2FM,4.292086466
FM2FM,4.219492099
FM2FM,6.896892172
FM2FM,3.470312548
FM2FM,4.555702993
FM2FM,4.69258234
FM2FM,4.544800711
FM2FM,5.036973841
FM2FM,5.097181728
FM2FM,4.318982283
FM2FM,7.943278446
FM2FM,5.494013077
FM2FM,5.495100601
FM2FM,4.691357042
FM2FM,6.214817476
FM2FM,4.111601835
FM2FM,4.22261542
FM2FM,4.84242527
FM2FM,4.477460849
FM2FM,4.168774923
FM2FM,4.68362291
FM2FM,4.645637054
FM2FM,6.196523885
FM2FM,5.095472291
FM2FM,5.058053365
FM2FM,4.924610533
FM2FM,6.016070363
FM2FM,5.424774742
FM2FM,1.928365248
FM2FM,4.596006922
FM2FM,8.609026721
FM2FM,5.33641669
FM2FM,5.355699236
FM2FM,5.27246121
FM2FM,5.132273952
FM2FM,4.084213816
FM2FM,1.837078107
FM2FM,4.601861906
FM2FM,1.471655734
FM2FM,1.556979137
FM2FM,5.778532537
FM2FM,1.401281224
FM2FM,3.901614481
FM2FM,4.733602844
FM2FM,8.263843923
FM2FM,4.419026565
FM2FM,1.627953116
FM2FM,5.299363081
FM2FM,1.435751231
FM2FM,0.698348952
FM2FM,1.858608859
FM2FM,5.140683844
FM2FM,1.67617308
FM2FM,3.937519712
FM2FM,2.676555092
FM2FM,3.184932253
FM2FM,1.654666655
FM2FM,3.268457251
FM2FM,7.315903473
FM2FM,7.308904234
FM2FM,6.30498481
FM2FM,6.213844129
FM2FM,5.903557139
FM2FM,6.161525889
FM2FM,8.090921822
FM2FM,6.631217638
FM2FM,5.945401659
FM2FM,7.732144547
FM2FM,5.891868484
FM2FM,4.302988748
FM2FM,5.579824536
FM2FM,5.311275968
FM2FM,4.975065075
FM2FM,4.814783842
FM2FM,4.158409348
FM2FM,5.001528877
FM2FM,4.336348782
FM2FM,4.467095275
FM2FM,4.028668228
FM2FM,4.235328411
FM2FM,5.310831249
FM2FM,4.54385151
FM2FM,5.255164045
FM2FM,5.212141205
FM2FM,7.642065549
FM2FM,7.304214817
FM2FM,7.26463349
FM2FM,7.901079307
FM2FM,7.560122267
FM2FM,2.745251586
FM2FM,4.73808229
FM2FM,4.304216034
FM2FM,4.618499627
FM2FM,5.067243069
FM2FM,5.025878505
FM2FM,7.909459571
FM2FM,6.223333231
FM2FM,6.402398965
FM2FM,6.221622641
FM2FM,5.484683611
FM2FM,5.242200462
FM2FM,5.182991128
FM2FM,3.963421822
FM2FM,4.650868492
FM2FM,4.025578896
FM2FM,3.988936423
FM2FM,5.627417942
FM2FM,4.488008512
FM2FM,4.423589052
FM2FM,3.824650027
FM2FM,3.915852741
FM2FM,5.63372808
FM2FM,4.492394103
FM2FM,3.902960606
FM2FM,8.647245776
FM2FM,4.945584455
FM2FM,4.62130728
FM2FM,7.260117205
FM2FM,8.673975882
FM2FM,4.653310728
FM2FM,10.22642869
FM2FM,7.15673434
FM2FM,7.632923967
FM2FM,6.864426005
FM2FM,5.959308209
FM2FM,6.270130275
FM2FM,4.984385265
FM2FM,5.910089334
FM2FM,4.32587325
FM2FM,5.074165773
FM2FM,4.367921849
FM2FM,5.785014329
FM2FM,4.987857975
FM2FM,6.292408737
FM2FM,4.690745271
FM2FM,4.603923206
FM2FM,4.923051178
FM2FM,5.517326077
FM2FM,4.989486217
FM2FM,5.646543278
FM2FM,5.097730486
FM2FM,8.2054552
FM2FM,4.846243528
FM2FM,5.958777142
FM2FM,6.452852797
FM2FM,7.164434258
FM2FM,5.758076558
FM2FM,5.313960814
FM2FM,5.506651003
FM2FM,5.801199465
FM2FM,6.564152498
FM2FM,5.694399993
FM2FM,4.035166535
FM2FM,5.331471367
FM2FM,5.459644314
FM2FM,5.125555875
FM2FM,5.37183572
FM2FM,4.545126187
FM2FM,6.177705319
FM2FM,4.494685287
FM2FM,4.168717713
FM2FM,3.819543236
FM2FM,5.174538137
FM2FM,4.755661347
FM2FM,4.299504754
FM2FM,3.750411518
FM2FM,4.624746344
FM2FM,5.924651249
FM2FM,5.891776854
FM2FM,4.012361834
FM2FM,5.648403908
FM2FM,4.27481765
FM2FM,4.256388569
FM2FM,5.842861897
FM2FM,4.515264553
FM2FM,4.437986647
FM2FM,5.246946609
FM2FM,4.681154745
FM2FM,5.426510387
FM2FM,4.219817755
FM2FM,4.689897494
FM2FM,4.550271897
FM2FM,4.650868492
FM2FM,4.865827155
FM2FM,4.572076012
FM2FM,4.582352551
FM2FM,6.746638962
FM2FM,4.416928435
FM2FM,2.831174459
FM2FM,3.638801351
FM2FM,1.768839084
FM2FM,3.837984656
FM2FM,4.431706384
FM2FM,4.336164754
FM2FM,5.49059001
FM2FM,5.861858343
FM2FM,6.105979369
FM2FM,5.900024516
FM2FM,5.963491063
FM2FM,2.584270819
FM2FM,5.131549362
FM2FM,5.518502487
FM2FM,5.012593987
FM2FM,5.628668295
FM2FM,4.79100647
FM2FM,5.100252504
FM2FM,5.231135352
FM2FM,4.793474862
FM2FM,5.572132483
FM2FM,4.652766965
FM2FM,4.705351473
FM2FM,5.782166655
FM2FM,6.429058201
FM2FM,6.085086412
FM2FM,6.243564978
FM2FM,4.348476474
FM2FM,4.405422412
FM2FM,3.46269611
FM2FM,6.21596926
FM2FM,3.610475455
FM2FM,4.556886291
FM2FM,5.800303035
FM2FM,5.152893209
FM2FM,5.474059402
FM2FM,5.35095309
FM2FM,5.698256432
FM2FM,5.275938845
FM2FM,5.402644522
FM2FM,5.110305614
FM2FM,5.444750103
FM2FM,3.299242456
FM2FM,6.018818897
FM2FM,4.499002957
FM2FM,4.183774751
FM2FM,6.527460893
FM2FM,4.201158825
FM2FM,3.355006931
FM2FM,6.231780516
FM2FM,6.224195594
FM2FM,4.548437841
FM2FM,2.95383987
FM2FM,5.292942694
FM2FM,4.737331084
FM2FM,1.360193934
FM2FM,6.913538806
FM2FM,3.824785518
FM2FM,4.229358272
FM2FM,5.584993213
FM2FM,3.968167969
FM2FM,6.051986888
FM2FM,5.95231253
FM2FM,4.985644893
FM2FM,3.755031799
FM2FM,4.019398255
FM2FM,7.920124476
FM2FM,8.247755841
FM2FM,7.836424291
FM2FM,5.956484814
FM2FM,5.674715792
FM2FM,6.188419268
FM2FM,7.323561781
FM2FM,6.424867593
FM2FM,4.385407346
FM2FM,6.014085002
FM2FM,6.140047531
FM2FM,5.058053365
FM2FM,4.944579646
FM2FM,2.647618751
FM2FM,3.738648402
FM2FM,5.335692201
FM2FM,6.091414273
FM2FM,5.742004241
FM2FM,5.585704575
FM2FM,7.765863664
FM2FM,5.142015003
FM2FM,4.770624827
FM2FM,5.703674775
FM2FM,6.017617675
FM2FM,6.405245281
FM2FM,4.981917381
FM2FM,9.584949363
FM2FM,5.722916198
FM2FM,5.407206528
FM2FM,5.870226318
FM2FM,4.684063823
FM2FM,2.706773402
FM2FM,3.488553793
FM2FM,5.961479436
FM2FM,3.02421438
FM2FM,3.806876132
FM2FM,5.493712476
FM2FM,8.832633358
FM2FM,7.057183782
FM2FM,2.125919826
FM2FM,4.787088877
FM2FM,6.435007577
FM2FM,4.386954658
FM2FM,4.317806424
FM2FM,6.915200392
FM2FM,4.464073378
FM2FM,6.705807025
FM2FM,4.397283884
FM2FM,5.319656232
FM2FM,4.383084985
FM2FM,6.403222665
FM2FM,5.659565589
FM2FM,9.055619718
FM2FM,4.239886675
FM2FM,0.854046866
FM2FM,4.356504048
FM2FM,7.471601386
FM2FM,9.588778464
FM2FM,6.419359148
FM2FM,5.197224847
FM2FM,4.32845897
FM2FM,6.759665306
FM2FM,4.724389544
FM2FM,4.220328582
FM2FM,6.968128067
FM2FM,4.504337216
FM2FM,4.241161352
FM2FM,4.319716221
FM2FM,3.467878897
FM2FM,6.003023992
FM2FM,3.790742411
FM2FM,4.474847202
FM2FM,4.521235997
FM2FM,4.309911452
FM2FM,6.119039789
FM2FM,4.244307165
FM2FM,3.575197032
FM2FM,2.800648335
FM2FM,4.579759024
FM2FM,4.56411869
FM2FM,5.913350584
FM2FM,5.990667851
FM2FM,4.573412722
FM2FM,9.483370216
FM2FM,4.959390676
FM2FM,6.116641904
FM2FM,7.639802646
FM2FM,5.671030262
FM2FM,5.616190004
FM2FM,5.398684749
FM2FM,4.672394972
FM2FM,5.478825365
FM2FM,3.794901841
FM2FM,4.061047936
FM2FM,5.877705963
FM2FM,5.230358774
FM2FM,5.334057071
FM2FM,9.735380084
FM2FM,3.961523349
FM2FM,6.018192089
FM2FM,4.458203358
FM2FM,5.431905134
FM2FM,5.803243011
FM2FM,5.166739418
FM2FM,5.461057494
FM2FM,5.468810951
FM2FM,3.691990087
FM2FM,4.885211126
FM2FM,3.787051248
FM2FM,6.274289705
FM2FM,5.676028122
FM2FM,4.092569025
FM2FM,0.789554679
FM2FM,6.207684802
FM2FM,4.378986959
FM2FM,6.739897538
FM2FM,6.619478048
FM2FM,6.126345248
FM2FM,6.620823715
FM2FM,6.924554912
FM2FM,5.74658756
FM2FM,5.124444025
FM2FM,5.485086187
FM2FM,8.683505094
FM2FM,5.044840116
FM2FM,6.058727302
FM2FM,3.284481895
FM2FM,4.932290543
FM2FM,6.914715099
FM2FM,9.724328356
FM2FM,6.082022737
FM2FM,5.102150977
FM2FM,5.58760533
FM2FM,6.325163154
FM2FM,5.588690092
FM2FM,6.392922616
FM2FM,5.852191362
FM2FM,2.072317169
FM2FM,5.584407855
FM2FM,4.222803753
FM2FM,4.780348451
FM2FM,5.144052707
FM2FM,9.523833778
FM2FM,4.317342445
FM2FM,3.916547734
FM2FM,5.878809095
FM2FM,2.165397041
FM2FM,4.532882653
FM2FM,4.94256928
FM2FM,5.536614792
FM2FM,5.513919168
FM2FM,6.567464151
FM2FM,5.019976397
FM2FM,4.934231865
FM2FM,5.338507505
FM2FM,6.561614485
FM2FM,4.762143138
FM2FM,7.864208048
FM2FM,6.467714853
FM2FM,5.610758909
FM2FM,4.896337639
FM2FM,5.833235023
FM2FM,5.313174441
FM2FM,4.099901606
FM2FM,4.323824236
FM2FM,5.356815939
FM2FM,7.933325436
FM2FM,5.3699859
FM2FM,5.006463356
FM2FM,7.266144982
FM2FM,6.229615819
FM2FM,10.99505825
FM2FM,7.592832305
FM2FM,9.147611888
FM2FM,5.470224132
FM2FM,6.019605268
FM2FM,4.507781471
FM2FM,2.150407841
FM2FM,4.764044623
FM2FM,9.011834177
FM2FM,4.561398411
FM2FM,7.201781153
FM2FM,5.028593577
FM2FM,6.786842824
FM2FM,6.814415464
FM2FM,5.711979049
FM2FM,10.40321934
FM2FM,5.830818801
FM2FM,5.329565255
FM2FM,4.25474873
SoftWorx,4.292303147
SoftWorx,4.91135926
SoftWorx,3.954218836
SoftWorx,4.49123586
SoftWorx,4.125927183
SoftWorx,4.49058726
SoftWorx,7.941868278
SoftWorx,5.252284145
SoftWorx,4.450772366
SoftWorx,8.526396242
SoftWorx,7.678229414
SoftWorx,4.485841114
SoftWorx,4.884645722
SoftWorx,4.438483263
SoftWorx,4.291587973
SoftWorx,4.562939002
SoftWorx,4.308962181
SoftWorx,4.080268614
SoftWorx,4.235865118
SoftWorx,4.557601466
SoftWorx,4.995201016
SoftWorx,5.058807583
SoftWorx,4.208426989
SoftWorx,6.128330559
SoftWorx,5.086441145
SoftWorx,4.631423118
SoftWorx,8.899509311
SoftWorx,4.51729272
SoftWorx,4.707868284
SoftWorx,4.821616095
SoftWorx,5.120766274
SoftWorx,8.704110678
SoftWorx,4.205545249
SoftWorx,1.538160571
SoftWorx,4.867126158
SoftWorx,6.362596342
SoftWorx,4.031298391
SoftWorx,3.21910184
SoftWorx,6.359125053
SoftWorx,3.381927676
SoftWorx,3.680638006
SoftWorx,4.208426989
SoftWorx,6.735701858
SoftWorx,2.011984411
SoftWorx,5.200200979
SoftWorx,4.276092327
SoftWorx,2.240713332
SoftWorx,4.292328202
SoftWorx,5.818409316
SoftWorx,4.448001061
SoftWorx,4.596300601
SoftWorx,4.496306755
SoftWorx,3.829854128
SoftWorx,4.147731747
SoftWorx,4.083402388
SoftWorx,4.949809096
SoftWorx,7.0544021
SoftWorx,4.070275977
SoftWorx,4.383508874
SoftWorx,5.146161681
SoftWorx,4.884645722
SoftWorx,6.431762947
SoftWorx,7.642232554
SoftWorx,3.403223882
SoftWorx,2.697284301
SoftWorx,3.37262503
SoftWorx,6.181067516
SoftWorx,3.017358249
SoftWorx,7.876800948
SoftWorx,4.886707022
SoftWorx,4.908888658
SoftWorx,2.871376893
