,Method,Block1,Block2
416,Deconvolved FM 4-64,0.5258769,0.06424568
417,Deconvolved FM 4-64,0.12912495,0.057973173
418,Deconvolved FM 4-64,0.032756425,0.057466306
419,Deconvolved FM 4-64,0.044731215,0.044224344
420,Deconvolved FM 4-64,0.039979313,0.056959435
421,Deconvolved FM 4-64,0.008616778,0.047962505
422,Deconvolved FM 4-64,0.049419753,0.042196866
423,Deconvolved FM 4-64,0.24963312,0.048025865
424,Deconvolved FM 4-64,0.6602606,0.05144723
425,Deconvolved FM 4-64,0.76746345,0.06006401
426,Deconvolved FM 4-64,0.33294976,0.047012124
427,Deconvolved FM 4-64,0.03022208,0.052080818
428,Deconvolved FM 4-64,-0.0054488447,0.04916632
429,Deconvolved FM 4-64,-0.0057022795,0.0501167
430,Deconvolved FM 4-64,0.016283175,0.044604495
431,Deconvolved FM 4-64,0.2260637,0.038078554
432,Deconvolved FM 4-64,0.7143689,0.034467112
433,Deconvolved FM 4-64,0.7839367,0.038015194
434,Deconvolved FM 4-64,0.3318093,0.046695333
435,Deconvolved FM 4-64,0.07058155,0.040359467
436,Deconvolved FM 4-64,0.007412963,0.036621306
437,Deconvolved FM 4-64,0.028448038,0.03636787
438,Deconvolved FM 4-64,0.033390015,0.045935027
439,Deconvolved FM 4-64,0.030855667,0.03966252
440,Deconvolved FM 4-64,0.098395996,0.043844193
441,Deconvolved FM 4-64,0.3376383,0.042260226
442,Deconvolved FM 4-64,0.6793949,0.038648784
443,Deconvolved FM 4-64,0.81168777,0.031615973
444,Deconvolved FM 4-64,0.39668858,0.027561016
445,Deconvolved FM 4-64,0.068617426,0.019641185
446,Deconvolved FM 4-64,-0.0003167933,0.011657993
447,Deconvolved FM 4-64,0.00082366256,0.008109909
448,Deconvolved FM 4-64,0.018183935,0.0058289967
449,Deconvolved FM 4-64,0.023442704,0.011024407
450,Deconvolved FM 4-64,0.028701473,0.013051884
451,Deconvolved FM 4-64,0.028004527,0.014825926
452,Deconvolved FM 4-64,0.02223889,0.009503799
453,Deconvolved FM 4-64,0.01983126,0.0011404558
454,Deconvolved FM 4-64,0.02876483,-0.002977857
455,Deconvolved FM 4-64,0.029018266,-0.0057022795
456,Deconvolved FM 4-64,0.02977857,-0.0056389207
457,Deconvolved FM 4-64,0.030665591,-0.0011404558
458,Deconvolved FM 4-64,0.0424503,0.040296108
459,Deconvolved FM 4-64,0.04726556,0.20015001
460,Deconvolved FM 4-64,0.043273963,0.47740752
461,Deconvolved FM 4-64,0.04764571,0.67305905
462,Deconvolved FM 4-64,0.028638115,0.6079897
463,Deconvolved FM 4-64,0.03300986,0.35512528
464,Deconvolved FM 4-64,0.043464042,0.18139584
465,Deconvolved FM 4-64,0.036557946,0.057402946
466,Deconvolved FM 4-64,0.035227414,0.014002264
467,Deconvolved FM 4-64,0.03972588,0.021478586
468,Deconvolved FM 4-64,0.0340236,0.024709877
469,Deconvolved FM 4-64,0.037191533,0.022365607
470,Deconvolved FM 4-64,0.03453047,0.055185392
471,Deconvolved FM 4-64,0.036177795,0.13546081
472,Deconvolved FM 4-64,0.04682205,0.32490322
473,Deconvolved FM 4-64,0.03839535,0.6176202
474,Deconvolved FM 4-64,0.03598772,0.7298918
475,Deconvolved FM 4-64,0.040486183,0.54773563
476,Deconvolved FM 4-64,0.029588494,0.23873544
477,Deconvolved FM 4-64,0.029208342,0.047012124
478,Deconvolved FM 4-64,0.034593828,-0.00019007598
479,Deconvolved FM 4-64,0.034277037,-0.005575562
480,Deconvolved FM 4-64,0.03674802,-0.0040549543
481,Deconvolved FM 4-64,0.036051076,0.0010137386
482,Deconvolved FM 4-64,0.03167933,0.010137386
483,Deconvolved FM 4-64,0.02699079,0.019514468
484,Deconvolved FM 4-64,0.040612902,0.027054148
485,Deconvolved FM 4-64,0.041309845,0.028954908
486,Deconvolved FM 4-64,0.030919027,0.023759497
