,Fluorophore,label,Normalized_width,IPTG,Width,Length,SurfaceArea,Volume
376,FM 4-64,11,1.7650114724051065,1000 µM,1.125067889236031,3.4340540186060515,11.001326016319958,2.72912378285869
377,FM 4-64,12,1.8774786219076018,1000 µM,1.196757609375212,4.521884117498014,14.150454069755405,4.028512005870482
378,FM 4-64,13,1.6284583801073862,1000 µM,1.0380251126184366,4.683900994673737,13.707618614165474,3.2808984216220365
379,FM 4-64,14,1.976224717440219,1000 µM,1.259701144308611,3.157650534483859,11.472233087492738,3.119969653838992
380,FM 4-64,15,1.8451806316620862,1000 µM,1.1761699631869564,2.016840147019267,6.609088543154376,1.5725923888350444
381,FM 4-64,16,1.8376966520751443,1000 µM,1.1713994643836299,3.7712201134434027,12.305122411734311,3.195575018141877
382,FM 4-64,17,1.8747384460743646,1000 µM,1.1950109443313666,3.118704421186842,9.549460589963351,2.5082539351099165
383,FM 4-64,18,1.529910191236798,1000 µM,0.9752077289503385,7.643745978890566,20.113658369124455,4.781132985516705
678,FM 4-64,4,1.11127185739243,25 µM,0.7083558959875959,1.9568000387256106,4.347119278519322,0.6820642354293429
679,FM 4-64,7,1.11786597673866,25 µM,0.7125591728785523,4.3144333674235815,7.817032710411571,1.3061474139480842
680,FM 4-64,8,1.2496571595701262,25 µM,0.7965665746469219,4.743881061861047,9.654493637540071,1.794689318486331
681,FM 4-64,9,1.2041718597901705,25 µM,0.7675729669481742,3.2077006051192116,6.233494299354401,1.0915307093227713
682,FM 4-64,10,1.2377563186817124,25 µM,0.7889806443865274,3.931215784229297,7.599342900093403,1.401620838410639
683,FM 4-64,11,1.2241301250762129,25 µM,0.7802949258414967,3.3635718154299434,6.811237188333838,1.2099375375598918
684,FM 4-64,12,1.2646632335353278,25 µM,0.8061318676921527,7.299401845210225,9.035389958169972,1.7041919295504473
685,FM 4-64,13,1.2636144895416757,25 µM,0.8054633688128342,2.7948089904767253,6.000354345188864,1.1030162386571116
686,FM 4-64,14,1.1742705668754212,25 µM,0.7485130429584541,2.6579296434441293,5.155856552111404,0.9401684090041916
687,FM 4-64,15,1.2695408239915118,25 µM,0.8092409808536775,2.2098937670590955,4.918415036980596,0.8610403257143299
688,FM 4-64,16,1.2115518849991718,25 µM,0.772277202311067,2.719675581357106,5.427142757102864,0.9423942823382067
689,FM 4-64,17,1.277327277233333,25 µM,0.8142042848606897,4.174657245446191,8.607563015873618,1.6712315413804026
690,FM 4-64,18,1.3320669035785462,25 µM,0.8490968602533344,3.727305207113348,7.5260207563382755,1.4788453905489818
691,FM 4-64,19,1.324924753690777,25 µM,0.8445442533017827,3.820202199083984,8.571750557821927,1.7311776218079615
692,FM 4-64,20,1.3678554414592505,25 µM,0.8719094795489024,3.7654289625755824,8.810893179003443,1.770127210688569
693,FM 4-64,21,1.1755426577623405,25 µM,0.7493239094210457,2.2490091263091903,4.285800433625804,0.7417862912348321
694,FM 4-64,22,1.289497480949625,25 µM,0.8219619145536021,2.2377655487348984,5.114448244705807,0.9056236421904971
695,FM 4-64,23,1.2944435180010732,25 µM,0.8251146574975182,2.419083803464134,5.57520449569316,1.005686119802896
696,FM 4-64,26,1.2662240498113524,25 µM,0.8071267758276559,2.337271372332871,5.0939990276084375,0.9081877995907934
697,FM 4-64,28,1.3172606846833803,25 µM,0.8396589604433962,4.186281129679026,9.26191105891448,1.7904549802135634
698,FM 4-64,30,1.3417698923961414,25 µM,0.8552818178691719,2.437881057590886,5.8177379729081755,1.0807517344188566
699,FM 4-64,31,1.1734188555993326,25 µM,0.7479701382676863,2.179933620161147,4.337561894284123,0.7220517900388906
700,FM 4-64,2,1.3024203006320734,25 µM,0.8301992828032817,4.961635839303653,9.308757536256728,1.7907650403238524
701,FM 4-64,3,1.2872143061290187,25 µM,0.8205065547917327,4.085209230916919,8.99439966762088,1.7014200415363576
702,FM 4-64,4,1.1999943851613755,25 µM,0.76491012728031,2.933445294877651,6.840862484888439,1.196629047612147
703,FM 4-64,6,1.2987547985337993,25 µM,0.8278627888069703,3.2699818442150335,7.312212279380045,1.3696653881488567
704,FM 4-64,7,1.2627096467691243,25 µM,0.8048865966138311,3.1304690664640367,7.152314977834112,1.304345087309273
705,FM 4-64,8,1.2289042047300538,25 µM,0.783338058310133,3.895335608203603,8.187313102606865,1.507800598973407
707,FM 4-64,13,1.2134257692005392,25 µM,0.7734716687358277,3.485425798849972,7.418420359856452,1.3363775475806199
708,FM 4-64,14,1.2757153385815954,25 µM,0.8131767898869503,3.32378280101741,7.465133335754626,1.3879111631275745
709,FM 4-64,15,1.168874411007108,25 µM,0.7450733816374548,2.8956302973987906,5.658312145483702,0.9570855406518558
711,FM 4-64,14,1.3544826711359874,25 µM,0.863385300122278,4.114913526201482,10.456055818538363,2.0942587584738144
712,FM 4-64,15,1.3313308622712712,25 µM,0.8486276868496975,3.2124822753235853,7.189714943829111,1.3830557402052899
713,FM 4-64,16,1.2821321285240568,25 µM,0.8172670320350076,3.241906540030514,6.90141308253899,1.26895183378835
714,FM 4-64,18,1.1725717079913827,25 µM,0.7474301425871774,4.319864462913951,7.849886951495434,1.3634938199786426
715,FM 4-64,19,1.154517844235724,25 µM,0.73592210272132,2.106075618709965,3.964400313478114,0.6343327764015373
716,FM 4-64,20,1.136610554555986,25 µM,0.7245074932885167,2.4208921760174107,4.672852264060373,0.8174056242307969
717,FM 4-64,21,1.2863618748510115,25 µM,0.8199631911515183,4.139418504790102,8.379378712807844,1.5847339779599265
718,FM 4-64,22,1.1950529016738771,25 µM,0.761760286905959,3.6066463547150414,7.589674079532233,1.3324335192527124
719,FM 4-64,23,1.1460501321882357,25 µM,0.7305245452159602,4.161644531227623,8.263146255770277,1.4257033778953296
720,FM 4-64,24,1.1927190763554567,25 µM,0.7602726410940805,3.09065417197753,6.578358192827729,1.1391301748072937
