Method,solidity
FM2FM,0.921859545
FM2FM,0.747474747
FM2FM,0.921568627
FM2FM,0.677324152
FM2FM,0.925224327
FM2FM,0.727272727
FM2FM,0.79628483
FM2FM,0.926605505
FM2FM,0.794117647
FM2FM,0.879099678
FM2FM,0.678414097
FM2FM,0.903581267
FM2FM,0.917274939
FM2FM,0.909162717
FM2FM,0.907577019
FM2FM,0.861754967
FM2FM,0.879120879
FM2FM,0.679956308
FM2FM,0.793774319
FM2FM,0.69040404
FM2FM,0.70597166
FM2FM,0.904962153
FM2FM,0.753542822
FM2FM,0.817513369
FM2FM,0.915540541
FM2FM,0.820253165
FM2FM,0.920373027
FM2FM,0.744877726
FM2FM,0.912847483
FM2FM,0.63968016
FM2FM,0.943063352
FM2FM,0.881761978
FM2FM,0.926923077
FM2FM,0.866909091
FM2FM,0.898274836
FM2FM,0.723360656
FM2FM,0.92147806
FM2FM,0.72382199
FM2FM,0.925956062
FM2FM,0.744732577
FM2FM,0.943708609
FM2FM,0.924302789
FM2FM,0.864705882
FM2FM,0.889358108
FM2FM,0.901090909
FM2FM,0.903636364
FM2FM,0.940693431
FM2FM,0.770967742
FM2FM,0.834258525
FM2FM,0.641752577
FM2FM,0.943193998
FM2FM,0.918918919
FM2FM,0.799119428
FM2FM,0.923379175
FM2FM,0.94057377
FM2FM,0.927272727
FM2FM,0.94047619
FM2FM,0.651361868
FM2FM,0.926052332
FM2FM,0.883404255
FM2FM,0.903301887
FM2FM,0.900744417
FM2FM,0.897526502
FM2FM,0.921855922
FM2FM,0.740191805
FM2FM,0.914746544
FM2FM,0.891779396
FM2FM,0.911627907
FM2FM,0.867178276
FM2FM,0.890588235
FM2FM,0.948717949
FM2FM,0.914617486
FM2FM,0.943137255
FM2FM,0.942857143
FM2FM,0.922171946
FM2FM,0.938053097
FM2FM,0.940298507
FM2FM,0.940691928
FM2FM,0.879893238
FM2FM,0.926829268
FM2FM,0.924831081
FM2FM,0.676644182
FM2FM,0.679116255
FM2FM,0.891915641
FM2FM,0.833901193
FM2FM,0.657462196
FM2FM,0.940337224
FM2FM,0.759835316
FM2FM,0.939849624
FM2FM,0.907317073
FM2FM,0.852468769
FM2FM,0.859318637
FM2FM,0.914036997
FM2FM,0.918875502
FM2FM,0.908350305
FM2FM,0.765136394
FM2FM,0.937203791
FM2FM,0.819230769
FM2FM,0.91986456
FM2FM,0.932650073
FM2FM,0.930194805
FM2FM,0.922711058
FM2FM,0.910539216
FM2FM,0.891734575
FM2FM,0.980595084
FM2FM,0.907068063
FM2FM,0.82083739
FM2FM,0.886945659
FM2FM,0.930538922
FM2FM,0.821714286
FM2FM,0.903805497
FM2FM,0.917004049
FM2FM,0.919793014
FM2FM,0.930120482
FM2FM,0.886506936
FM2FM,0.903629537
FM2FM,0.930751174
FM2FM,0.924623116
FM2FM,0.930136986
FM2FM,0.860314524
FM2FM,0.79024839
FM2FM,0.933246073
FM2FM,0.861111111
FM2FM,0.771224307
FM2FM,0.901452282
FM2FM,0.932934132
FM2FM,0.804461942
FM2FM,0.670357751
FM2FM,0.818813131
FM2FM,0.672971324
FM2FM,0.814649682
FM2FM,0.918795023
FM2FM,0.780732564
FM2FM,0.93814433
FM2FM,0.943037975
FM2FM,0.913994169
FM2FM,0.88006617
FM2FM,0.862515413
FM2FM,0.682650862
FM2FM,0.908462867
FM2FM,0.919610231
FM2FM,0.871794872
FM2FM,0.863979849
FM2FM,0.915973378
FM2FM,0.855875831
FM2FM,0.856900931
FM2FM,0.93832021
FM2FM,0.93258427
FM2FM,0.838880085
FM2FM,0.831493318
FM2FM,0.942281879
FM2FM,0.806451613
FM2FM,0.908291457
FM2FM,0.901112485
FM2FM,0.97005988
FM2FM,0.929530201
FM2FM,0.947368421
FM2FM,0.693548387
FM2FM,0.798327138
FM2FM,0.955263158
FM2FM,0.968944099
FM2FM,0.922865014
FM2FM,0.690610329
FM2FM,0.934278351
FM2FM,0.892026578
FM2FM,0.944933921
FM2FM,0.951388889
FM2FM,0.680927629
FM2FM,0.92849632
FM2FM,0.734570391
FM2FM,0.75501771
FM2FM,0.689228958
FM2FM,0.817073171
FM2FM,0.667846608
FM2FM,0.914912281
FM2FM,0.840342124
FM2FM,0.720404521
FM2FM,0.866929134
FM2FM,0.82172471
FM2FM,0.848404255
FM2FM,0.975206612
FM2FM,0.930427494
FM2FM,0.938852305
FM2FM,0.929455446
FM2FM,0.862006079
FM2FM,0.931924883
FM2FM,0.942111237
FM2FM,0.911363636
FM2FM,0.948648649
FM2FM,0.908241291
FM2FM,0.96460177
FM2FM,0.960707269
FM2FM,0.893636364
FM2FM,0.956637168
FM2FM,0.939759036
FM2FM,0.930898876
FM2FM,0.916747338
FM2FM,0.922953451
FM2FM,0.938413361
FM2FM,0.932061069
FM2FM,0.938679245
FM2FM,0.947058824
FM2FM,0.942164179
FM2FM,0.914869467
FM2FM,0.932522124
FM2FM,0.903526971
FM2FM,0.947524752
FM2FM,0.930630631
FM2FM,0.939508507
FM2FM,0.883587786
FM2FM,0.922135706
FM2FM,0.925386715
FM2FM,0.879406308
FM2FM,0.924170616
FM2FM,0.926153846
FM2FM,0.891601563
FM2FM,0.671222179
FM2FM,0.775170326
FM2FM,0.890569395
FM2FM,0.795989538
FM2FM,0.670811997
FM2FM,0.898159509
FM2FM,0.906976744
FM2FM,0.911542611
FM2FM,0.926315789
FM2FM,0.848484848
FM2FM,0.906820365
FM2FM,0.865248227
FM2FM,0.925219941
FM2FM,0.928489043
FM2FM,0.845948827
FM2FM,0.819499341
FM2FM,0.892655367
FM2FM,0.913432836
FM2FM,0.941558442
FM2FM,0.844680851
FM2FM,0.913793103
FM2FM,0.906779661
FM2FM,0.8456621
FM2FM,0.845360825
FM2FM,0.848484848
FM2FM,0.895988113
FM2FM,0.825557809
FM2FM,0.919243986
FM2FM,0.942028986
FM2FM,0.947284345
FM2FM,0.838730159
FM2FM,0.852067183
FM2FM,0.932151118
FM2FM,0.930879038
FM2FM,0.895053476
FM2FM,0.839238845
FM2FM,0.792880259
FM2FM,0.76713198
FM2FM,0.735738664
FM2FM,0.753521127
FM2FM,0.940463065
FM2FM,0.936326531
FM2FM,0.824159021
FM2FM,0.916003537
FM2FM,0.915085818
FM2FM,0.89135255
FM2FM,0.94049904
FM2FM,0.917218543
FM2FM,0.884575026
FM2FM,0.904076739
FM2FM,0.858285714
FM2FM,0.770382696
FM2FM,0.7995889
FM2FM,0.908341916
FM2FM,0.726718886
FM2FM,0.85629532
FM2FM,0.745810056
FM2FM,0.843483557
FM2FM,0.842138365
FM2FM,0.9000757
FM2FM,0.844086022
FM2FM,0.939285714
FM2FM,0.870300752
FM2FM,0.876180483
FM2FM,0.934689507
FM2FM,0.92706334
FM2FM,0.735893417
FM2FM,0.794820717
FM2FM,0.814304462
FM2FM,0.928802589
FM2FM,0.855221519
FM2FM,0.851246776
FM2FM,0.854385965
FM2FM,0.893544734
FM2FM,0.879576108
FM2FM,0.881683732
FM2FM,0.936842105
FM2FM,0.654654655
FM2FM,0.890928726
FM2FM,0.819639279
FM2FM,0.913301663
FM2FM,0.937793427
FM2FM,0.683982684
FM2FM,0.876430206
FM2FM,0.887323944
FM2FM,0.909535452
FM2FM,0.909599254
FM2FM,0.914678899
FM2FM,0.934131737
FM2FM,0.751070664
