Method,Width
FM2FM,0.887034554
FM2FM,0.902211096
FM2FM,0.732109564
FM2FM,0.914161552
FM2FM,0.743719974
FM2FM,0.903384339
FM2FM,0.80601204
FM2FM,0.891886694
FM2FM,0.708748327
FM2FM,0.753005539
FM2FM,0.712168925
FM2FM,0.766676058
FM2FM,0.742979045
FM2FM,0.833664857
FM2FM,0.760756214
FM2FM,0.816586586
FM2FM,0.784281466
FM2FM,0.787003762
FM2FM,0.820654068
FM2FM,0.810756854
FM2FM,0.776495383
FM2FM,0.889538659
FM2FM,0.854152694
FM2FM,0.881397923
FM2FM,0.872291553
FM2FM,0.836447044
FM2FM,0.77216118
FM2FM,0.848270245
FM2FM,0.830866599
FM2FM,0.793270418
FM2FM,0.779372828
FM2FM,0.841231191
FM2FM,0.840884169
FM2FM,0.841965573
FM2FM,0.812326367
FM2FM,0.856087045
FM2FM,0.884745668
FM2FM,0.952541456
FM2FM,0.809006084
FM2FM,0.845118763
FM2FM,0.890094458
FM2FM,0.864591504
FM2FM,0.87809504
FM2FM,0.752953731
FM2FM,0.860105801
FM2FM,0.988273857
FM2FM,0.857676813
FM2FM,0.941413377
FM2FM,0.774689976
FM2FM,0.878968905
FM2FM,0.906584446
FM2FM,0.907837684
FM2FM,0.783336004
FM2FM,0.732999146
FM2FM,0.899633367
FM2FM,0.854506874
FM2FM,0.798478621
FM2FM,0.866011362
FM2FM,0.77195593
FM2FM,0.757182129
FM2FM,0.819259186
FM2FM,0.852735408
FM2FM,0.81746234
FM2FM,0.860340691
FM2FM,0.775376307
FM2FM,0.786119067
FM2FM,0.728488333
FM2FM,0.831278714
FM2FM,0.877369588
FM2FM,0.749332268
FM2FM,0.697039681
FM2FM,0.843276379
FM2FM,0.852968918
FM2FM,0.750238088
FM2FM,0.733104945
FM2FM,0.751099269
FM2FM,0.804336884
FM2FM,0.706495486
FM2FM,0.770517147
FM2FM,0.763083991
FM2FM,0.825135897
FM2FM,0.767946021
FM2FM,0.77130627
FM2FM,0.636814642
FM2FM,0.778004424
FM2FM,0.815471413
FM2FM,0.72934857
FM2FM,0.794165013
FM2FM,0.76790639
FM2FM,0.790116856
FM2FM,0.82327545
FM2FM,0.797387192
FM2FM,0.827476389
FM2FM,0.655967768
FM2FM,0.805604593
FM2FM,0.788785012
FM2FM,0.766172896
FM2FM,0.631399847
FM2FM,0.756965989
FM2FM,0.616720539
FM2FM,0.686563823
FM2FM,0.749472844
FM2FM,0.748663306
FM2FM,0.759097358
FM2FM,0.780765153
FM2FM,0.799961104
FM2FM,0.733019192
FM2FM,0.817796426
FM2FM,0.779778912
FM2FM,0.840978347
FM2FM,0.82415557
FM2FM,0.808213768
FM2FM,0.830226588
FM2FM,0.818938153
FM2FM,0.878459282
FM2FM,0.827574993
FM2FM,0.838740476
FM2FM,0.84697418
FM2FM,0.826196066
FM2FM,0.87430729
FM2FM,0.833203078
FM2FM,0.902441012
FM2FM,0.888575333
FM2FM,0.911029795
FM2FM,0.846131372
FM2FM,0.925970317
FM2FM,0.8342186
FM2FM,0.851613013
FM2FM,0.824715772
FM2FM,0.692496221
FM2FM,0.671403659
FM2FM,0.67180271
FM2FM,0.751163875
FM2FM,0.656926491
FM2FM,0.670095525
FM2FM,0.644620333
FM2FM,0.89265096
FM2FM,0.848070982
FM2FM,0.89815707
FM2FM,0.730980015
FM2FM,0.815601475
FM2FM,0.892656637
FM2FM,0.821320121
FM2FM,0.879750129
FM2FM,0.893730386
FM2FM,0.827819614
FM2FM,0.844340931
FM2FM,0.829210452
FM2FM,0.890510073
FM2FM,0.864627264
FM2FM,0.850841109
FM2FM,0.776223722
FM2FM,0.832086427
FM2FM,0.815312838
FM2FM,0.837683968
FM2FM,0.858296301
FM2FM,0.745899316
FM2FM,0.83034807
FM2FM,0.826058143
FM2FM,0.863300846
FM2FM,0.762183726
FM2FM,0.90608656
FM2FM,0.907703423
FM2FM,0.910968803
FM2FM,0.910403254
FM2FM,0.851015403
FM2FM,0.880979402
FM2FM,0.89536356
FM2FM,0.902627194
FM2FM,0.79867334
FM2FM,0.927054997
FM2FM,0.823256325
FM2FM,0.881642814
FM2FM,0.851209266
FM2FM,0.840521541
FM2FM,0.91135231
FM2FM,0.818383258
FM2FM,0.893909812
FM2FM,0.825537008
FM2FM,0.907058744
FM2FM,0.755855265
FM2FM,0.86107026
FM2FM,0.825946303
FM2FM,0.745160965
FM2FM,0.750172801
FM2FM,0.777843039
FM2FM,0.690047074
FM2FM,0.87106689
FM2FM,0.87496397
FM2FM,0.851684801
FM2FM,0.821792591
FM2FM,0.784975204
FM2FM,0.769936146
FM2FM,0.800144455
FM2FM,0.821570686
FM2FM,0.847326685
FM2FM,0.716993812
FM2FM,0.680098149
FM2FM,0.76148282
FM2FM,0.840587404
FM2FM,0.596356075
FM2FM,0.771036896
FM2FM,0.789929878
FM2FM,0.664683261
FM2FM,0.689013489
FM2FM,0.7356427
FM2FM,0.802795976
FM2FM,0.806997425
FM2FM,0.814841342
FM2FM,0.849559079
FM2FM,0.888091383
FM2FM,0.918576173
FM2FM,0.907976255
FM2FM,0.907367099
FM2FM,0.893340191
FM2FM,0.895176081
FM2FM,0.86416182
FM2FM,0.800366231
FM2FM,0.88120938
FM2FM,0.910343319
FM2FM,0.884994355
FM2FM,0.899446012
FM2FM,0.902263339
FM2FM,0.856303334
FM2FM,0.855881057
FM2FM,0.843464546
FM2FM,0.854398567
FM2FM,0.827745989
FM2FM,0.799347236
FM2FM,0.77647327
FM2FM,0.76387648
FM2FM,0.769629653
FM2FM,0.709386114
FM2FM,0.771873913
FM2FM,0.810352019
FM2FM,0.833674377
FM2FM,0.748014298
FM2FM,0.701066263
FM2FM,0.849030346
FM2FM,0.831630479
FM2FM,0.849626753
FM2FM,0.827637576
FM2FM,0.825357202
FM2FM,0.804080257
FM2FM,0.822478915
FM2FM,0.855755472
FM2FM,0.84539713
FM2FM,0.849978553
FM2FM,0.877498091
FM2FM,0.849233318
FM2FM,0.83977154
FM2FM,0.855060316
FM2FM,0.879186982
FM2FM,0.841791287
FM2FM,0.889739401
FM2FM,0.831752876
FM2FM,0.878134745
FM2FM,0.816710059
FM2FM,0.90733461
FM2FM,0.893559123
FM2FM,0.871377672
FM2FM,0.825041351
FM2FM,0.795539837
FM2FM,0.854343274
FM2FM,0.89930232
FM2FM,0.900411805
FM2FM,0.900666756
FM2FM,0.867215451
FM2FM,0.836280983
FM2FM,0.891771408
FM2FM,0.835301726
FM2FM,0.833330041
FM2FM,0.810096307
FM2FM,0.776513841
FM2FM,0.852157203
FM2FM,0.914400643
FM2FM,0.811708529
FM2FM,0.920309508
FM2FM,0.918335902
FM2FM,0.876422105
FM2FM,0.891522531
FM2FM,0.889280324
FM2FM,0.876956643
FM2FM,0.884221162
FM2FM,0.864250514
FM2FM,0.813988023
FM2FM,0.884895728
FM2FM,0.863985854
FM2FM,0.906470088
FM2FM,0.892792371
FM2FM,0.90139398
FM2FM,0.854482794
FM2FM,0.957046056
FM2FM,0.912064365
FM2FM,0.898734212
FM2FM,0.87999046
FM2FM,0.88140662
FM2FM,0.877191963
FM2FM,0.905561553
FM2FM,0.919953656
FM2FM,0.888504235
FM2FM,0.879519204
FM2FM,0.89122446
FM2FM,0.832210591
FM2FM,0.819117883
FM2FM,0.939241023
FM2FM,0.796668996
FM2FM,0.97742878
FM2FM,0.862563844
FM2FM,0.800025997
FM2FM,0.848002932
FM2FM,0.89645921
