,Bacillus subtilis subspecies subtilis PY79,Priestia megaterium 1060,Priestia megaterium 899,Priestia megaterium DSM 319,Priestia megaterium KM,Priestia megaterium QM B1551,Priestia megaterium WH320,Time
102,-0.23145604780732446,-0.20598481825175338,-0.9029243271551274,0.0754641951160538,-0.8938612497697395,0.04893657534052319,-0.2647945844853054,8.5
103,-0.22474511281096482,-0.19055421781184642,-0.8972062648354974,0.08231852913935787,-0.8840075726211363,0.05864880049712497,-0.24831401991477073,8.583333333333334
104,-0.21860754806947502,-0.1758510377896497,-0.8917180575818455,0.08880219803497276,-0.8743920910360405,0.0678042567138051,-0.23216607171902515,8.666666666666666
105,-0.21303083677688298,-0.1618636871610446,-0.8864548651621758,0.0949251700843688,-0.8650108221175788,0.07643411715645036,-0.21635841878517825,8.75
106,-0.20800246212721687,-0.14858057490191323,-0.8814118473444922,0.10069741356901613,-0.8558597829688791,0.08456955499094702,-0.2008987400003407,8.833333333333334
107,-0.203509907314505,-0.13599010998813785,-0.8765841638967983,0.10612889677038477,-0.8469349906930687,0.09224174338318125,-0.18579471425162317,8.916666666666666
108,-0.19954065553277528,-0.12408070139559975,-0.8719669745870986,0.11122958796994514,-0.8382324623932742,0.09948185549903979,-0.17105402042613527,9.0
109,-0.19608218997605595,-0.11284081033720086,-0.8675554391833961,0.11600945544916721,-0.829748215172623,0.10631783706595709,-0.15668198869268612,9.083333333333334
110,-0.1931219938383752,-0.10225910697392172,-0.8633447174536959,0.12047846748952121,-0.8214782661342426,0.11276472405756034,-0.14267455434687873,9.166666666666666
111,-0.19064755031376104,-0.0923243137037619,-0.8593299691660007,0.12464659237247733,-0.8134186323812599,0.11883432500902537,-0.12902530396601372,9.25
112,-0.1886463425962417,-0.08302515292472164,-0.8555063540883151,0.12852379837950578,-0.805565331016802,0.12453844845552756,-0.11572782412739259,9.333333333333334
113,-0.18710585387984535,-0.0743503470348012,-0.8518690319886429,0.13212005379207659,-0.7979143791439967,0.12988890293224242,-0.10277570140831682,9.416666666666666
114,-0.18601356735859997,-0.06628861843200021,-0.8484131626349879,0.13544532689166008,-0.7904617938659707,0.13489749697434567,-0.09016252238608705,9.5
115,-0.1853569662265338,-0.05882868951431889,-0.8451339057953539,0.13850958595972637,-0.7832035922858509,0.13957603911701275,-0.07788187363800468,9.583333333333334
116,-0.18512353367767503,-0.05195928267975741,-0.8420264212377451,0.14132279927774555,-0.7761357915067654,0.14393633789541907,-0.0659273417413713,9.666666666666666
117,-0.18530075290605175,-0.04566912032631551,-0.839085868730165,0.14389493512718796,-0.7692544086318408,0.14799020184474043,-0.05429251327348746,9.75
118,-0.18587610710569205,-0.03994692485199337,-0.8363074080406178,0.14623596178952367,-0.7625554607642044,0.1517494395001523,-0.04297097481165472,9.833333333333334
119,-0.18683707947062408,-0.03478141865479114,-0.8336861989371074,0.1483558475462228,-0.7560349650069835,0.15522585939683006,-0.03195631293317449,9.916666666666666
120,-0.18817115319487607,-0.030161324132708608,-0.8312174011876374,0.1502645606787556,-0.7496889384633052,0.15843127006994945,-0.021242114215347465,10.0
121,-0.18986581147247603,-0.026075363683745925,-0.8288961745602119,0.15197206946859224,-0.7435133982362967,0.1613774800546859,-0.010821965235475066,10.083333333333334
122,-0.19190853749745215,-0.022512259705903186,-0.8267176788228349,0.1534883421972028,-0.7375043614290853,0.16407629788621503,-0.0006894525708587728,10.166666666666666
123,-0.1942868144638326,-0.019460734597180278,-0.8246770737435103,0.15482334714605764,-0.7316578451447983,0.16653953209971237,0.009161837201200713,10.25
124,-0.19698812556564552,-0.016909510755577315,-0.8227695190902415,0.1559870525966267,-0.7259698664865624,0.16877899123035345,0.018738317503401925,10.333333333333334
125,-0.19999995399691892,-0.01484731057909435,-0.820990174631033,0.1569894268303803,-0.7204364425575055,0.17080648381331376,0.02804640175844353,10.416666666666666
126,-0.20330978295168112,-0.013262856465731332,-0.8193342001338886,0.15784043812878862,-0.7150535904607541,0.17263381838376893,0.03709250338902465,10.5
127,-0.20690509562396014,-0.012144870813488338,-0.8177967553668117,0.15855005477332174,-0.709817327299436,0.1742728034768945,0.04588303581784392,10.583333333333334
128,-0.2107733752077841,-0.011482076020365412,-0.816373000097807,0.1591282450454499,-0.7047236701766784,0.17573524762786596,0.05442441246760002,10.666666666666666
129,-0.21490210489718123,-0.011263194484362546,-0.8150580940948778,0.15958497722664325,-0.699768636195608,0.17703295937185892,0.06272304676099204,10.75
130,-0.21927876788617964,-0.0114769486034798,-0.8138471971260282,0.15993021959837195,-0.6949482424593525,0.17817774724404895,0.0707853521207186,10.833333333333334
131,-0.22389084736880735,-0.01211206077571717,-0.8127354689592617,0.16017394044210614,-0.6902585060710387,0.17918141977961144,0.07861774196947835,10.916666666666666
132,-0.22872582653909265,-0.013157253399074727,-0.811718069362583,0.16032610803931605,-0.6856954441337939,0.18005578551372206,0.08622662972997044,11.0
133,-0.23377118859106363,-0.014601248871552482,-0.8107901581039951,0.16039669067147186,-0.6812550737507457,0.18081265298155635,0.09361842882489353,11.083333333333334
134,-0.23901441671874835,-0.016432769591150427,-0.8099468949515028,0.1603956566200437,-0.676933412025021,0.1814638307182898,0.1007995526769462,11.166666666666666
135,-0.24444299411617507,-0.018640537955868664,-0.8091834396731094,0.16033297416650175,-0.6727264760597469,0.18202112725909803,0.10777641470882761,11.25
136,-0.25004440397737193,-0.02121327636370719,-0.8084949520368186,0.16021861159231615,-0.6686302829580507,0.18249635113915655,0.11455542834323637,11.333333333333334
137,-0.25580612949636683,-0.024139707212665958,-0.8078765918106351,0.16006253717895716,-0.6646408498230596,0.18290131089364087,0.12114300700287116,11.416666666666666
138,-0.2617156538671882,-0.027408552900745137,-0.8073235187625621,0.15987471920789487,-0.6607541937579009,0.18324781505772664,0.1275455641104311,11.5
139,-0.2677604602838641,-0.031008535825944705,-0.8068308926606037,0.15966512596059948,-0.6569663318657017,0.1835476721665893,0.13376951308861484,11.583333333333334
140,-0.27392803194042253,-0.03492837838626458,-0.8063938732727638,0.15944372571854112,-0.6532732812495894,0.18381269075540438,0.13982126736012093,11.666666666666666
141,-0.2802058520308918,-0.03915680297970497,-0.8060076203670464,0.15922048676319006,-0.649671059012691,0.18405467935934752,0.1457072403476486,11.75
142,-0.28658140374929997,-0.04368253200426582,-0.8056672937114553,0.15900537737601636,-0.6461556822581336,0.18428544651359421,0.15143384547389643,11.833333333333334
143,-0.293042170289675,-0.04849428785794707,-0.8053680530739944,0.15880836583849028,-0.6427231680890446,0.18451680075332005,0.15700749616156315,11.916666666666666
144,-0.29957759629864134,-0.05358206048800635,-0.805105801195234,0.15863768777209253,-0.6393700501581291,0.1847585345569058,0.16243385078802944,12.0
145,-0.3061849722332063,-0.05894091003873064,-0.8048794127060099,0.1584946481583464,-0.6360949283164027,0.1850123761755534,0.167715547549402,12.083333333333334
146,-0.31286355000297345,-0.06456716420366429,-0.8046885052097249,0.15837881931878564,-0.6328969189644597,0.1852780378036701,0.1728544695964694,12.166666666666666
147,-0.3196125815175465,-0.07045715067635204,-0.8045326963097809,0.15828977357494411,-0.6297751385028935,0.1855552316356631,0.1778525000800204,12.25
148,-0.3264313186865289,-0.07660719715033829,-0.8044116036095802,0.15822708324835566,-0.6267287033322979,0.18584366986593967,0.18271152215084352,12.333333333333334
149,-0.3333190134195242,-0.08301363131916734,-0.8043248447125255,0.15819032066055413,-0.6237567298532671,0.18614306468890698,0.1874334189597271,12.416666666666666
150,-0.34027491762613593,-0.08967278087638397,-0.8042720372220189,0.1581790581330733,-0.6208583344663943,0.18645312829897226,0.19202007365746007,12.5
151,-0.34729828321596784,-0.0965809735155325,-0.8042527987414628,0.158192867987447,-0.6180326335722736,0.1867735728905427,0.19647336939483076,12.583333333333334
152,-0.354388362098623,-0.10373453693015733,-0.8042667468742596,0.1582313225452091,-0.6152787435714989,0.18710411065802562,0.20079518932262774,12.666666666666666
153,-0.3615444061837055,-0.11112979881380322,-0.8043134992238115,0.15829399412789338,-0.6125957808646636,0.18744445379582808,0.20498741659163966,12.75
154,-0.36876566738081856,-0.11876308686001445,-0.8043926733935209,0.15838045505703371,-0.609982861852362,0.18779431449835748,0.20905193435265515,12.833333333333334
155,-0.37605139759956574,-0.12663072876233544,-0.8045038869867903,0.15849027765416387,-0.6074391029351875,0.18815340496002086,0.21299062575646252,12.916666666666666
156,-0.3834008487495507,-0.13472905221431092,-0.8046467576070219,0.15862303424081775,-0.6049636205137339,0.18852143737522561,0.21680537395385074,13.0
157,-0.3908132727403771,-0.14305438490948533,-0.8048209028576179,0.15877829713852915,-0.602555530988595,0.18889812393837885,0.22049806209560807,13.083333333333334
158,-0.3982879214816481,-0.1516030545414028,-0.8050259403419807,0.15895563866883186,-0.6002139507603651,0.18928317684388782,0.2240705733325231,13.166666666666666
159,-0.40582404688296764,-0.1603713888036083,-0.8052614876635129,0.15915463115325976,-0.5979379962296371,0.1896763082861597,0.22752479081538454,13.25
160,-0.4134209008539391,-0.16935571538964614,-0.8055271624256166,0.15937484691334666,-0.5957267837970054,0.1900772304596018,0.2308625976949809,13.333333333333334
161,-0.42107773530416587,-0.17855236199306052,-0.8058225822316943,0.15961585827062638,-0.5935794298630637,0.1904856555586212,0.23408587712210066,13.416666666666666
162,-0.42879380214325186,-0.1879576563073965,-0.8061473646851482,0.15987723754663277,-0.5914950508284056,0.19090129577762532,0.23719651224753252,13.5
163,-0.43656835328080046,-0.19756792602619822,-0.8065011273893808,0.16015855706289964,-0.5894727630936251,0.19132386331102116,0.240196386222065,13.583333333333334
164,-0.4444006406264148,-0.2073794988430099,-0.8068834879477942,0.1604593891409608,-0.5875116830593157,0.19175307035321612,0.2430873821964866,13.666666666666666
165,-0.4522899160896992,-0.2173887024513766,-0.8072940639637909,0.1607793061023501,-0.5856109271260714,0.1921886290986173,0.2458713833215861,13.75
166,-0.4602354315802567,-0.22759186454484248,-0.8077324730407733,0.16111788026860138,-0.5837696116944862,0.1926302517416321,0.24855027274815192,13.833333333333334
167,-0.4682364390076908,-0.2379853128169519,-0.8081983327821437,0.16147468396124848,-0.5819868531651534,0.1930776504766675,0.25112593362697255,13.916666666666666
168,-0.47629219028160547,-0.2485653749612498,-0.8086912607913044,0.16184928950182517,-0.5802617679386671,0.1935305374981308,0.25360024910883666,14.0
169,-0.4844019373116038,-0.2593283786712803,-0.8092108746716576,0.16224126921186535,-0.578593472415621,0.19398862500042932,0.2559751023445329,14.083333333333334
170,-0.49256493200728946,-0.2702706516405878,-0.8097567920266058,0.16265019541290274,-0.5769810829966089,0.19445162517797013,0.2582523764848496,14.166666666666666
171,-0.5007804262782662,-0.28138852156271715,-0.8103286304595515,0.16307564042647127,-0.5754237160822244,0.1949192502251606,0.2604339546805757,14.25
172,-0.5090476720341376,-0.2926783161312127,-0.8109260075738967,0.16351717657410472,-0.5739204880730616,0.19539121233640777,0.2625217200824993,14.333333333333334
