,Strain,Method,Width_mu,Width_sigma
319,∆ponA,FM,0.5352293683699039,0.0014660471664928664
320,∆ponA,FM,0.4673925056600236,0.0018746113058524317
321,∆ponA,FM,0.5231311824563475,0.0015174113506723483
322,∆ponA,FM,0.39964480416375453,0.0021319978045501345
323,∆ponA,FM,0.5714162893131247,0.0012203307412960835
324,∆ponA,FM,0.48283537974698626,0.0017394959117341352
325,∆ponA,FM,0.6673425987019459,0.0009389893172216642
326,∆ponA,FM,0.5782882210951108,0.0013185998046329327
327,∆ponA,FM,0.6679636889458604,0.0008916478442401648
328,∆ponA,FM,0.561132494542966,0.0014457744419543962
329,∆ponA,FM,0.553689517670643,0.0015065536072552772
330,∆ponA,FM,0.5739011334086578,0.0012837221713812976
331,∆ponA,FM,0.4340710323850668,0.0021093752598184095
332,∆ponA,FM,0.47575991321638983,0.0017815885001417145
333,∆ponA,FM,0.5840390976907618,0.0012365970814620872
334,∆ponA,FM,0.5257475752269718,0.0015612703817179452
335,∆ponA,FM,0.5957909674778396,0.0011224713151835432
336,∆ponA,FM,0.5268221787236801,0.0015620031489461269
337,∆ponA,FM,0.5784495593279043,0.001367060366900257
338,∆ponA,FM,0.5579243253078973,0.0014669787609877278
339,∆ponA,FM,0.5296063684515544,0.0014767653786210897
340,∆ponA,FM,0.4783957784102407,0.0018758458817276673
341,∆ponA,FM,0.538785101842086,0.0015081031387997419
342,∆ponA,FM,0.5527156623665671,0.0014532936541903929
343,∆ponA,FM,0.552280100944424,0.001465388538420027
344,∆ponA,FM,0.49788663513168924,0.0016832599445677596
345,∆ponA,FM,0.5266479955558916,0.0015543594048295932
346,∆ponA,FM,0.5710267020519004,0.0013242689512811719
347,∆ponA,FM,0.5490477419137735,0.00129407720640879
348,∆ponA,FM,0.4909416846408988,0.0017826490358667012
349,∆ponA,FM,0.565598382324841,0.0012526506395313297
350,∆ponA,FM,0.4659882155024995,0.0019092271347021094
351,∆ponA,FM,0.6182794206884121,0.0011070052452102212
352,∆ponA,FM,0.4893440570288772,0.0016590075352995034
353,∆ponA,FM,0.5062029145009589,0.0016502092923342579
354,∆ponA,FM,0.4895497299090991,0.0016627902002779745
355,∆ponA,FM,0.5530611692359947,0.0015561358414837656
356,∆ponA,FM,0.6006520558497372,0.0011142252629805576
357,∆ponA,FM,0.5614553301623169,0.0013828280253145224
358,∆ponA,FM,0.4955551416985077,0.0017043025621294521
359,∆ponA,FM,0.5040573732529706,0.001528688049984679
360,∆ponA,FM,0.5294924276478798,0.0017876656822148104
361,∆ponA,FM,0.5889502017456998,0.0011485604146445044
362,∆ponA,FM,0.5247896751389075,0.0017628177677938496
363,∆ponA,FM,0.5561357622842626,0.001360263981950439
364,∆ponA,FM,0.40008023631656603,0.0023792839813729784
365,∆ponA,FM,0.5153651288783483,0.0016367707601475923
366,∆ponA,FM,0.5188377198039675,0.00167550192600074
367,∆ponA,FM,0.5406775016404656,0.0015361375178137276
368,∆ponA,FM,0.454827341409403,0.0017799660215558793
369,∆ponA,FM,0.5530970457296956,0.001307359441769436
370,∆ponA,FM,0.5159559483787782,0.0016868858780532232
371,∆ponA,FM,0.4935470591602539,0.0018264329945396234
372,∆ponA,FM,0.4423608369315772,0.0020877516325454506
373,∆ponA,FM,0.40977483894719685,0.002283553184432819
374,∆ponA,FM,0.5765226194936713,0.001215885295895474
375,∆ponA,FM,0.5408644630755493,0.0015080151919526575
376,∆ponA,FM,0.4769437354273222,0.0018427938039004656
377,∆ponA,FM,0.47094959152363775,0.001706773333592997
378,∆ponA,FM,0.48304036220495905,0.0016953645758868794
379,∆ponA,FM,0.46585370953843036,0.0018812274232486873
380,∆ponA,FM,0.4859499920265323,0.0017474081943727382
381,∆ponA,FM,0.48179822967518576,0.0017833783688265329
382,∆ponA,FM,0.5189267073061129,0.0016766404825785948
383,∆ponA,FM,0.49568064552489977,0.0016785549670314433
384,∆ponA,FM,0.561559551322362,0.0013730215165322277
385,∆ponA,FM,0.5083453948290547,0.0016168174828726557
386,∆ponA,FM,0.47260464368145394,0.0018244027915344946
387,∆ponA,FM,0.48238346544865746,0.0017421139163106708
388,∆ponA,FM,0.5178347529101791,0.0015548998172577836
389,∆ponA,FM,0.5192184636533675,0.0014912660398476343
390,∆ponA,FM,0.488506917825335,0.0017280052150357391
391,∆ponA,FM,0.5137513143931051,0.0016515609299126255
392,∆ponA,FM,0.40801243228187223,0.0020375427470097286
393,∆ponA,FM,0.4441980966529336,0.002107790069478085
394,∆ponA,FM,0.42551630454907663,0.0022373818044382353
395,∆ponA,FM,0.5443414119858428,0.0014712829076593667
396,∆ponA,FM,0.5037492743466002,0.001629315100954888
397,∆ponA,FM,0.4707659322950161,0.0018243590449224729
398,∆ponA,FM,0.488457857431723,0.0016555224567066506
399,∆ponA,FM,0.5219689438556392,0.001619377253453686
400,∆ponA,FM,0.38513305718628144,0.002335842452433329
401,∆ponA,FM,0.481769351092734,0.0017255420418431037
402,∆ponA,FM,0.554824691510994,0.0013662461107857799
403,∆ponA,FM,0.5165057568067719,0.001656286291929544
404,∆ponA,FM,0.431911145574697,0.002087721451956184
405,∆ponA,FM,0.6321408716249145,0.001098035006290316
406,∆ponA,FM,0.5459656212466586,0.0014405267296730814
407,∆ponA,FM,0.5892614746537086,0.001193583337175916
408,∆ponA,FM,0.55177178961465,0.0014517336253456355
409,∆ponA,FM,0.5664585139784076,0.0013602376653170328
410,∆ponA,FM,0.5729577850456746,0.0012903000514623
411,∆ponA,FM,0.53180454948824,0.001641060311367335
412,∆ponA,FM,0.5460891727017997,0.0014795507451572307
413,∆ponA,FM,0.6209579401178537,0.001059184336484604
414,∆ponA,FM,0.5821436348534882,0.0011996698266996321
415,∆ponA,FM,0.49589195700178335,0.0016938722217113298
416,∆ponA,FM,0.6452780473852042,0.0009418682806458371
417,∆ponA,FM,0.4907380277730791,0.001750536078896376
418,∆ponA,FM,0.4473390876541738,0.0020456672452712414
419,∆ponA,FM,0.5470525327232939,0.0015407537013992702
420,∆ponA,FM,0.5671939211033423,0.001349925962192132
421,∆ponA,FM,0.530506007622556,0.001557361012777714
422,∆ponA,FM,0.521354888785258,0.001644834105007005
423,∆ponA,FM,0.525436615112829,0.0015202269932861141
424,∆ponA,FM,0.5958223206071818,0.001220742369997142
425,∆ponA,FM,0.6698357014542616,0.0008563099618740383
426,∆ponA,FM,0.526756400240563,0.001587110316836381
427,∆ponA,FM,0.47475078644639584,0.0018108152023377441
428,∆ponA,FM,0.5339666538215161,0.0015972957796263796
429,∆ponA,FM,0.6096697291307362,0.0011748670190333342
430,∆ponA,FM,0.6675156904614824,0.0008708063043306965
431,∆ponA,FM,0.4733774039555323,0.0019362265269192037
432,∆ponA,FM,0.6924087652576364,0.000742424507528963
433,∆ponA,FM,0.5153519981982393,0.001655665192347793
434,∆ponA,FM,0.5594455174571735,0.0014148875900279476
435,∆ponA,FM,0.5913888198053945,0.0011923904984764704
436,∆ponA,FM,0.5718273048968674,0.0013208447826652048
437,∆ponA,FM,0.6445736041152934,0.0010029223287747004
438,∆ponA,FM,0.5301379816839406,0.0015110119826799266
439,∆ponA,FM,0.4519167715153869,0.0020336631593090727
440,∆ponA,FM,0.6338074882343689,0.0009971159017648425
441,∆ponA,FM,0.5394282626795306,0.0015107577680874237
442,∆ponA,FM,0.5629971868920044,0.0014177655126527463
443,∆ponA,FM,0.48961983064892717,0.001650441420053912
444,∆ponA,FM,0.5729055687192326,0.001339398357470028
445,∆ponA,FM,0.6301326280259536,0.0010615117641703626
446,∆ponA,FM,0.5561714646223543,0.0013403094835640072
447,∆ponA,FM,0.5158968345526793,0.001658800846761716
448,∆ponA,FM,0.5111570200231463,0.001683028388571018
449,∆ponA,FM,0.5360217051685977,0.0015721736427128368
450,∆ponA,FM,0.5204372296836935,0.0016571279915742827
451,∆ponA,FM,0.592308303564381,0.0013291164280948855
452,∆ponA,FM,0.4837666944916772,0.001846948321734081
453,∆ponA,FM,0.5532917732457302,0.0014466768600251202
454,∆ponA,FM,0.4963306475726205,0.0016321738321925037
455,∆ponA,FM,0.5362619195218399,0.0015148492666117463
456,∆ponA,FM,0.4840824810633343,0.0017336429500546438
457,∆ponA,FM,0.611398261660074,0.0011179069886403511
458,∆ponA,FM,0.5260451799557123,0.0015330716488946023
459,∆ponA,FM,0.4427167669746229,0.001927631295995449
460,∆ponA,FM,0.5026554820443814,0.0016361356978082144
461,∆ponA,FM,0.6125092947666698,0.0011854622230520013
462,∆ponA,FM,0.4939257428225964,0.0016282313956113557
463,∆ponA,FM,0.576965907238404,0.0012897509361829542
464,∆ponA,FM,0.46797041355323227,0.0019473340501645247
465,∆ponA,FM,0.5450543268112543,0.0013538472503235718
466,∆ponA,FM,0.5442250552248797,0.0014043301760047232
467,∆ponA,FM,0.4868979755107502,0.001834571694681398
468,∆ponA,FM,0.7502728174535352,0.0006616160613402595
469,∆ponA,FM,0.5281931967535702,0.0015728797819710586
470,∆ponA,FM,0.5230398666521856,0.0016648589259930574
471,∆ponA,FM,0.44718807360991725,0.0019494004476056208
472,∆ponA,FM,0.3258766562107644,0.0025770218022250434
473,∆ponA,FM,0.4819851684433345,0.0019252938618527493
474,∆ponA,FM,0.5097257220221003,0.0017651928513684712
475,∆ponA,FM,0.5541576600061455,0.0014198345847611816
476,∆ponA,FM,0.5382488036736331,0.001502747446097217
477,∆ponA,FM,0.5780147452446451,0.0012224603530517195
478,∆ponA,FM,0.6053622769185363,0.0012552316530829951
479,∆ponA,FM,0.49649416001519403,0.0018115359784346852
480,∆ponA,FM,0.5042986632103565,0.001525918850743742
481,∆ponA,FM,0.5251177405625637,0.0014484938646280978
482,∆ponA,FM,0.49449360009090376,0.0017116206260961466
483,∆ponA,FM,0.5892044069895961,0.0012023377825200756
484,∆ponA,FM,0.6578629035303615,0.0008564995647809162
