,Day,Strain,Stage,Length_mu,Length_sigma,Width_mu,Width_sigma,SurfaceArea_mu,SurfaceArea_sigma,Volume_mu,Volume_sigma
7590,Day2,DSM319,Exponential,5.189918705985256,0.0330926319086522,1.220395897655952,0.0025460666426273147,19.281958727476905,0.04318017888327301,5.459393207958701,0.015250179449696135
7591,Day2,DSM319,Exponential,4.781039372112419,0.028797202516847194,1.2800185114167,0.002996825242652666,15.685282867885864,0.0324095257777992,4.54987773675109,0.012451190807395804
7592,Day2,DSM319,Exponential,4.659741430661706,0.026588548663207378,1.1984020539264189,0.002736842908430713,15.432216285109156,0.031592378470715714,4.495062963196538,0.01153665025851916
7593,Day2,DSM319,Exponential,4.9355664179916925,0.031451986889794184,1.1964292927794722,0.002634628046060324,15.204606018079627,0.030476005840654387,4.23721313785867,0.011570771450510994
7594,Day2,DSM319,Exponential,4.979191125791505,0.031478829392526074,1.2191134439375757,0.002792533697683861,18.022954724129356,0.03912985429220665,5.182048237186446,0.014110719640550672
7595,Day2,DSM319,Exponential,8.235052411948654,0.08031991751730741,1.2120821006903513,0.0025487809216164048,30.294359463164664,0.07629614672101988,8.705831468226815,0.026768735023866178
7596,Day2,DSM319,Exponential,6.735052184179623,0.05686461165935239,1.0875738692370351,0.0019664618295190564,20.988724729520946,0.0474735627580356,5.456172749990106,0.01628612834190021
7597,Day2,DSM319,Exponential,4.221218808834984,0.02013377988440216,1.0130271480087252,0.001664264985081955,11.41353913483223,0.01832509625441583,2.6359263220190243,0.005704811721579395
7598,Day2,DSM319,Exponential,5.0189254356100035,0.03384278473906674,1.0398781113220084,0.001543009726736917,13.363367764163632,0.023978563453433514,3.263305121803125,0.007603287698419079
7599,Day2,DSM319,Exponential,5.664619998528279,0.04118227560633038,1.4705979686020396,0.004164931753063448,22.162309295862237,0.054693799725538804,7.277502378032849,0.022419791261104133
7600,Day2,DSM319,Exponential,4.2524233032615015,0.024544787048808723,0.8945897386431391,0.0010355569281597277,11.490433893961097,0.01737002918991187,2.448717407155641,0.0051427102509888165
7601,Day2,DSM319,Exponential,4.469916677508377,0.024822495330267043,1.2702705622229895,0.0030084042202237066,14.794939446319077,0.03047932550009885,4.285734522066119,0.011440613000488369
7602,Day2,DSM319,Exponential,5.690699195330133,0.04148069997627711,1.4328292791913195,0.004268117942537612,21.960821138159094,0.052440735061279116,7.255580014223015,0.02057987332916561
7603,Day2,DSM319,Exponential,9.580571537304891,0.09277020743208289,1.2357736908722046,0.002925981114077733,21.072673971750415,0.04723828522281562,6.038224052467582,0.017060509916552957
7604,Day2,DSM319,Exponential,8.677731500321334,0.08096326219459068,1.1961028425728768,0.002676516957967544,17.28155916961087,0.04106137931409563,5.137779177661292,0.014817437238048506
7605,Day2,DSM319,Exponential,6.096390968699729,0.042175428197188364,1.1193832493360787,0.0022283789763230723,20.317921202613732,0.04698001170392282,5.571103936370795,0.01574303437262102
7606,Day2,DSM319,Exponential,4.348993455598575,0.022130192478173688,1.2450352823852608,0.00271643484334585,15.095375302066454,0.02903289885667443,4.369159837809375,0.011637475821969123
7607,Day2,DSM319,Exponential,9.492823343401948,0.09090120397919967,1.3789310439470979,0.0037046557173232506,24.477548455533704,0.06479810085082807,7.736438284976451,0.02199847115136837
7608,Day2,DSM319,Exponential,6.98244392287751,0.06347538420466596,1.3194520025056349,0.00335404507658878,25.069873386372723,0.06156701136451319,7.714082305519117,0.023586240688998464
7609,Day2,DSM319,Exponential,2.637758342972455,0.014597273845823582,0.7816844986103082,0.0006479451030816784,6.116556571583951,0.009120506077731785,1.3163777179850469,0.0021644159114044405
7610,Day2,DSM319,Exponential,2.6281209915917736,0.013213042890625111,0.9567932957759264,0.0013155058606148357,7.038357959775598,0.009205789848137533,1.678526047592809,0.0028581020245215046
7611,Day2,DSM319,Exponential,5.29125559447254,0.03464990864953194,1.0819023182232672,0.0019233104058993204,18.222351888069017,0.03638029112955754,4.615127661932935,0.012476277713435381
7612,Day2,DSM319,Exponential,4.32398452015954,0.022216108471982604,1.1446744046055828,0.0021747478920127196,13.90715388318753,0.02421542263111067,3.592997609796865,0.008347692641649624
7613,Day2,DSM319,Exponential,3.375809651321349,0.014904073708075345,1.0569332256060655,0.001985748608777981,9.930044441460325,0.014645265856708908,2.5006487275395455,0.005475082100683116
7614,Day2,DSM319,Exponential,7.037969303024728,0.062445115886362985,1.2448515422402961,0.002861748193996515,25.131781470159638,0.06274358102474831,7.323252969881798,0.02262857945149187
7615,Day2,DSM319,Exponential,6.8566843693942605,0.05378589271957991,1.217413856741049,0.0026511693877187656,22.84682842354325,0.0559997151036248,6.474927012460833,0.01862430713186622
7616,Day2,DSM319,Exponential,6.316488132951918,0.04707314120634081,1.3117538477637074,0.00342400230512563,23.03703354902588,0.062442507261762384,6.981216410143813,0.0218681920577793
7617,Day2,DSM319,Exponential,6.1807409443707995,0.04843243570003232,1.2999037263139157,0.00329791664025406,22.729364722581703,0.0558909665510849,6.795560092871802,0.018797975761939614
7618,Day2,DSM319,Exponential,6.934284379594103,0.058670986523131234,1.273084138561057,0.00320140634726674,23.820883403971152,0.05690500909576283,7.020209508917593,0.02278498808465077
7619,Day2,DSM319,Exponential,8.178823347061183,0.06917682548061065,1.0957721699582115,0.0019209295751744658,25.184589505732482,0.06651412985421334,6.565198613449086,0.02096847802731775
7620,Day2,DSM319,Exponential,1.63246483567938,0.02499843607983623,0.8752023411017015,0.000952673539911879,4.082827216605918,0.014121486864898275,0.8251977636924266,0.002521856211434646
7621,Day2,DSM319,Exponential,2.476863147981268,0.014846038042194138,1.1161749189121042,0.002072259613167383,7.177431156737097,0.008720718352165195,1.65015708465435,0.002642927927480126
7622,Day2,DSM319,Exponential,5.5336738605333515,0.038068558269138714,1.1205011787976573,0.0019533820277920465,11.692285839725406,0.021158909457313493,2.924687576510817,0.006496080471194692
7623,Day2,DSM319,Exponential,3.486490639685419,0.015503889228518555,1.0645568517441808,0.001786250265090641,10.576583707610887,0.01615797095804308,2.5349439592567338,0.005325380310084664
7624,Day2,DSM319,Exponential,6.453641467773274,0.056157272027798126,1.211447315849854,0.0025777260608199864,20.423469906274022,0.05296344484887572,5.713949771650496,0.015823272871973822
7625,Day2,DSM319,Exponential,5.261630900037063,0.034260109881815395,1.350506409548831,0.0034743147379089475,18.400076118637365,0.04111838388642166,5.597408838303018,0.016559567843474635
7626,Day2,DSM319,Exponential,8.132004404863764,0.07864377239296806,1.3739029111588406,0.003742664856992377,29.76639405138317,0.08350483597257295,9.533281549243995,0.027512485128249334
7627,Day2,DSM319,Exponential,6.6588321420432415,0.05630122731020564,1.2209946475397677,0.0027304495981987217,21.734333834305513,0.051464547849258864,6.168393979947159,0.017742344732016756
7628,Day2,DSM319,Exponential,5.701317312471953,0.039734569890055804,1.3193618940021672,0.00328855644161434,21.32936528282305,0.050761546268262514,6.632916598386872,0.020731051943845426
7629,Day2,DSM319,Exponential,4.514268491234963,0.024650141939366984,1.1301444468527124,0.00221897981097803,14.197142738210461,0.028934017148246022,3.7899413756665417,0.009042398892697836
7630,Day2,DSM319,Exponential,5.241291978475345,0.0351723814186951,1.3163217911062353,0.0030720047432616577,17.468051631194104,0.03729792037552233,5.278139450210956,0.015342676057567823
7631,Day2,DSM319,Exponential,5.960279532673965,0.04203366454021604,1.2684512200592113,0.0030458895308611033,21.677714457616972,0.048960596871892546,6.393244857871899,0.018548881084294935
7632,Day2,DSM319,Exponential,3.501343373793853,0.01509591549223755,1.0492897574661553,0.001648738370102458,9.846335422693429,0.013639056555270129,2.574850185699919,0.005292959741503117
7633,Day2,DSM319,Exponential,6.042895010553198,0.04463655459410758,1.3009109826432228,0.003270886485709915,21.528103423227705,0.0508054591558417,6.464993382038718,0.019770181287575704
7634,Day2,DSM319,Exponential,4.484343718868642,0.02631903819471576,0.9852973544543409,0.0014680076113328354,11.323457171541968,0.018443122341694505,2.651765519158279,0.0057762549760134495
7635,Day2,DSM319,Exponential,6.732908631557353,0.055433322315111506,1.2950149664792685,0.0031432550812437966,24.701382725897727,0.06645882279191896,7.419730528180464,0.02229384603763717
7636,Day2,DSM319,Exponential,4.274861742022766,0.02225364359284667,1.1598514118888277,0.002269827558714123,12.541995972258905,0.0223307226163752,3.3657869979677626,0.008058462067572766
7637,Day2,DSM319,Exponential,10.054441729501855,0.10694041325131079,1.2077497606244,0.002500617560461878,32.026022413217575,0.096327581258976,9.243947826252564,0.02675341395870011
7638,Day2,DSM319,Exponential,7.716629650429007,0.06796710502838682,1.0834845235943766,0.0018508215557969064,14.734884863332855,0.02898603903913601,3.7319922007359536,0.00980173134405142
7639,Day2,DSM319,Exponential,5.574472645233396,0.04380700998152782,1.3325127156351382,0.0033252920801468367,18.726235988454693,0.04514951884478568,5.601355749416258,0.016528678452269054
7640,Day2,DSM319,Exponential,7.830356928675602,0.06903721369411775,1.2489351937677675,0.00291236781539871,28.472805221230928,0.07665386521790683,8.350438241168685,0.023907349405924733
7641,Day2,DSM319,Exponential,3.9531388239718686,0.019188027816822963,1.3110875925248235,0.0033363347257709124,15.499316559603104,0.0324561128704364,4.48593982227534,0.012825516671831719
7642,Day2,DSM319,Exponential,5.085385279724789,0.031402010851015516,1.3212024170148033,0.003123239802275179,17.61204872779923,0.03879749490128375,5.28998975580382,0.015013556204570216
7643,Day2,DSM319,Exponential,4.335807710776056,0.023248228013773953,1.3577099359182743,0.003353444175052131,16.30258487735609,0.035172210843175705,4.8566595190288115,0.013452039123006949
7644,Day2,DSM319,Exponential,11.780077514663827,0.13592953682268874,1.3032772442007823,0.0031870572358815227,28.446576660539428,0.07555389596363128,8.690308340404743,0.026521335474759957
7645,Day2,DSM319,Exponential,6.079495277330524,0.04343780158659391,1.3293896207624232,0.0032701271661088114,21.904303887297264,0.050762136662337046,6.646392440513695,0.019268552617628328
7646,Day2,DSM319,Exponential,4.249369677167329,0.021920805406438676,1.330540392998669,0.003745433546593389,15.806815094920427,0.0325595425416463,4.734518980700884,0.012333324047906009
7647,Day2,DSM319,Exponential,4.220388848967701,0.022084717749978774,1.3150534360735695,0.003081433411052052,16.86911720296473,0.03176386606255454,4.97373764343346,0.014831466629027349
7648,Day2,DSM319,Exponential,4.298278643093808,0.023814971700019266,1.3660598963054018,0.0033346455942302304,17.06590349655162,0.03780924170123957,5.158095130998545,0.015460023561177384
7649,Day2,DSM319,Exponential,1.5729451814708462,0.02397364474397597,0.9686755050888967,0.0013290958462316492,4.280222728652038,0.012238329851247788,0.7982218662460263,0.0025704326147278143
7650,Day2,DSM319,Exponential,5.292176355928752,0.03660328998356387,1.2721954248731973,0.0029795884005680796,18.175241522089273,0.039255018539009,5.244420283320573,0.015649578126291232
7651,Day2,DSM319,Exponential,4.704642620460537,0.027534651834819113,1.1243819516710332,0.002234252209357728,15.956620450825191,0.03475994256188253,4.318854659866183,0.011671985713389715
7652,Day2,DSM319,Exponential,5.54559011782285,0.03738759976679242,1.4403518559321973,0.004049828023367468,22.889795434275694,0.05977915681813384,7.4192471912840405,0.023091055018670655
7653,Day2,DSM319,Exponential,6.008500309765397,0.04291504589537049,1.3932134525638342,0.0037522949956535286,22.564271843626987,0.055002654789641885,7.549887715362778,0.021974592735451937
7654,Day2,DSM319,Exponential,5.640056176984951,0.040481179829297116,1.3215838308018932,0.003487677949873568,22.35193394841873,0.05729476331989365,6.867362930308543,0.01978893793926665
7655,Day2,DSM319,Exponential,5.916871894946013,0.04355498888670251,1.3965870209780287,0.003674149152214823,22.860595540308996,0.05425129847945268,7.283353485634127,0.021320689285247146
7656,Day2,DSM319,Exponential,4.302533395585577,0.02182095135800349,1.2759025662433765,0.0032180421957891054,15.556513007462497,0.03244389787312512,5.0358742169432125,0.01492617776654372
7657,Day2,DSM319,Exponential,3.641101765682901,0.01657772150273163,1.50102230227102,0.00437253180916357,13.862997494330026,0.023481714909078237,4.402850478355138,0.011834353756703291
7658,Day2,DSM319,Exponential,4.491831545423031,0.023325037145777824,1.1538750323532745,0.0023739304040096792,14.881139441444207,0.030219597302912096,3.9094199997760555,0.010302723500376539
7659,Day2,DSM319,Exponential,3.481297305250315,0.014583195805264328,1.325114324669552,0.0032575894353630017,13.058580635620105,0.023591416554684292,4.117922964619616,0.010717972511945333
7660,Day2,DSM319,Exponential,4.666884843670012,0.027023828109868326,1.132942618178201,0.0022704284643658267,13.712698246214856,0.025718788148755733,3.6127044135497246,0.008950350721508748
