,Image type,Model,Threshold,F1,Image
9,Deconvolved,Cellpose3,0.95,0.02631579,4
10,Deconvolved,Cellpose3,1.0,0.0,4
0,Deconvolved,Morphometrics,0.5,0.7058824,4
1,Deconvolved,Morphometrics,0.55,0.61764705,4
2,Deconvolved,Morphometrics,0.6,0.5294118,4
3,Deconvolved,Morphometrics,0.65,0.5,4
4,Deconvolved,Morphometrics,0.7,0.44117647,4
5,Deconvolved,Morphometrics,0.75,0.4117647,4
6,Deconvolved,Morphometrics,0.8,0.3529412,4
7,Deconvolved,Morphometrics,0.85,0.29411766,4
8,Deconvolved,Morphometrics,0.9,0.29411766,4
9,Deconvolved,Morphometrics,0.95,0.14705883,4
10,Deconvolved,Morphometrics,1.0,0.0,4
0,Deconvolved,Omnipose,0.5,0.90047395,5
1,Deconvolved,Omnipose,0.55,0.89099526,5
2,Deconvolved,Omnipose,0.6,0.89099526,5
3,Deconvolved,Omnipose,0.65,0.89099526,5
4,Deconvolved,Omnipose,0.7,0.89099526,5
5,Deconvolved,Omnipose,0.75,0.89099526,5
6,Deconvolved,Omnipose,0.8,0.8815166,5
7,Deconvolved,Omnipose,0.85,0.8720379,5
8,Deconvolved,Omnipose,0.9,0.75829387,5
9,Deconvolved,Omnipose,0.95,0.13270143,5
10,Deconvolved,Omnipose,1.0,0.0,5
0,Deconvolved,Cellpose-SAM,0.5,0.9417989,5
1,Deconvolved,Cellpose-SAM,0.55,0.9417989,5
2,Deconvolved,Cellpose-SAM,0.6,0.93121696,5
3,Deconvolved,Cellpose-SAM,0.65,0.93121696,5
4,Deconvolved,Cellpose-SAM,0.7,0.93121696,5
5,Deconvolved,Cellpose-SAM,0.75,0.9206349,5
6,Deconvolved,Cellpose-SAM,0.8,0.8994709,5
7,Deconvolved,Cellpose-SAM,0.85,0.8888889,5
8,Deconvolved,Cellpose-SAM,0.9,0.73015875,5
9,Deconvolved,Cellpose-SAM,0.95,0.34920636,5
10,Deconvolved,Cellpose-SAM,1.0,0.0,5
0,Deconvolved,microSAM,0.5,0.8288288,5
1,Deconvolved,microSAM,0.55,0.7837838,5
2,Deconvolved,microSAM,0.6,0.7747748,5
3,Deconvolved,microSAM,0.65,0.7657658,5
4,Deconvolved,microSAM,0.7,0.7657658,5
5,Deconvolved,microSAM,0.75,0.7657658,5
6,Deconvolved,microSAM,0.8,0.7567568,5
7,Deconvolved,microSAM,0.85,0.7297297,5
8,Deconvolved,microSAM,0.9,0.5765766,5
9,Deconvolved,microSAM,0.95,0.10810811,5
10,Deconvolved,microSAM,1.0,0.0,5
0,Deconvolved,Cellpose3,0.5,0.84761906,5
1,Deconvolved,Cellpose3,0.55,0.84761906,5
2,Deconvolved,Cellpose3,0.6,0.84761906,5
3,Deconvolved,Cellpose3,0.65,0.83809525,5
4,Deconvolved,Cellpose3,0.7,0.82857144,5
5,Deconvolved,Cellpose3,0.75,0.7904762,5
6,Deconvolved,Cellpose3,0.8,0.6952381,5
7,Deconvolved,Cellpose3,0.85,0.3904762,5
8,Deconvolved,Cellpose3,0.9,0.04761905,5
9,Deconvolved,Cellpose3,0.95,0.0,5
10,Deconvolved,Cellpose3,1.0,0.0,5
0,Deconvolved,Morphometrics,0.5,0.8557692,5
1,Deconvolved,Morphometrics,0.55,0.83653843,5
2,Deconvolved,Morphometrics,0.6,0.83653843,5
3,Deconvolved,Morphometrics,0.65,0.83653843,5
4,Deconvolved,Morphometrics,0.7,0.8076923,5
5,Deconvolved,Morphometrics,0.75,0.7980769,5
6,Deconvolved,Morphometrics,0.8,0.75961536,5
7,Deconvolved,Morphometrics,0.85,0.7019231,5
8,Deconvolved,Morphometrics,0.9,0.5,5
9,Deconvolved,Morphometrics,0.95,0.35576922,5
10,Deconvolved,Morphometrics,1.0,0.0,5
0,Deconvolved,Omnipose,0.5,0.91752577,6
1,Deconvolved,Omnipose,0.55,0.9072165,6
2,Deconvolved,Omnipose,0.6,0.9072165,6
3,Deconvolved,Omnipose,0.65,0.9072165,6
4,Deconvolved,Omnipose,0.7,0.9072165,6
5,Deconvolved,Omnipose,0.75,0.8969072,6
6,Deconvolved,Omnipose,0.8,0.8969072,6
7,Deconvolved,Omnipose,0.85,0.88659793,6
8,Deconvolved,Omnipose,0.9,0.87628865,6
9,Deconvolved,Omnipose,0.95,0.26804122,6
10,Deconvolved,Omnipose,1.0,0.0,6
0,Deconvolved,Cellpose-SAM,0.5,0.9060773,6
1,Deconvolved,Cellpose-SAM,0.55,0.8839779,6
2,Deconvolved,Cellpose-SAM,0.6,0.8839779,6
3,Deconvolved,Cellpose-SAM,0.65,0.8729282,6
4,Deconvolved,Cellpose-SAM,0.7,0.8729282,6
5,Deconvolved,Cellpose-SAM,0.75,0.8508287,6
6,Deconvolved,Cellpose-SAM,0.8,0.839779,6
7,Deconvolved,Cellpose-SAM,0.85,0.8176796,6
8,Deconvolved,Cellpose-SAM,0.9,0.7845304,6
9,Deconvolved,Cellpose-SAM,0.95,0.3314917,6
10,Deconvolved,Cellpose-SAM,1.0,0.0,6
0,Deconvolved,microSAM,0.5,0.8442211,6
1,Deconvolved,microSAM,0.55,0.8241206,6
2,Deconvolved,microSAM,0.6,0.8241206,6
3,Deconvolved,microSAM,0.65,0.8241206,6
4,Deconvolved,microSAM,0.7,0.8241206,6
5,Deconvolved,microSAM,0.75,0.8241206,6
6,Deconvolved,microSAM,0.8,0.8241206,6
7,Deconvolved,microSAM,0.85,0.7839196,6
8,Deconvolved,microSAM,0.9,0.67336684,6
9,Deconvolved,microSAM,0.95,0.13065326,6
10,Deconvolved,microSAM,1.0,0.0,6
0,Deconvolved,Cellpose3,0.5,0.86315787,6
1,Deconvolved,Cellpose3,0.55,0.86315787,6
2,Deconvolved,Cellpose3,0.6,0.86315787,6
3,Deconvolved,Cellpose3,0.65,0.84210527,6
4,Deconvolved,Cellpose3,0.7,0.8210526,6
5,Deconvolved,Cellpose3,0.75,0.7894737,6
6,Deconvolved,Cellpose3,0.8,0.68421054,6
7,Deconvolved,Cellpose3,0.85,0.30526316,6
8,Deconvolved,Cellpose3,0.9,0.05263158,6
9,Deconvolved,Cellpose3,0.95,0.0,6
10,Deconvolved,Cellpose3,1.0,0.0,6
0,Deconvolved,Morphometrics,0.5,0.8958333,6
1,Deconvolved,Morphometrics,0.55,0.875,6
2,Deconvolved,Morphometrics,0.6,0.875,6
3,Deconvolved,Morphometrics,0.65,0.875,6
4,Deconvolved,Morphometrics,0.7,0.875,6
5,Deconvolved,Morphometrics,0.75,0.875,6
6,Deconvolved,Morphometrics,0.8,0.8541667,6
7,Deconvolved,Morphometrics,0.85,0.8020833,6
8,Deconvolved,Morphometrics,0.9,0.71875,6
9,Deconvolved,Morphometrics,0.95,0.5520833,6
10,Deconvolved,Morphometrics,1.0,0.0,6
0,Deconvolved,Omnipose,0.5,0.9076305,7
1,Deconvolved,Omnipose,0.55,0.8674699,7
2,Deconvolved,Omnipose,0.6,0.8674699,7
3,Deconvolved,Omnipose,0.65,0.8674699,7
4,Deconvolved,Omnipose,0.7,0.8674699,7
5,Deconvolved,Omnipose,0.75,0.8674699,7
