Method,Volume
SoftWorx,1.616837311
SoftWorx,1.76913583
SoftWorx,1.719834455
SoftWorx,1.707403167
SoftWorx,1.741658181
SoftWorx,1.594943599
SoftWorx,1.772847945
SoftWorx,2.090906776
SoftWorx,1.708707628
SoftWorx,2.848344207
SoftWorx,2.165697857
SoftWorx,2.160564731
SoftWorx,4.598303977
SoftWorx,2.235777774
SoftWorx,2.488761514
SoftWorx,2.498832319
SoftWorx,2.778078139
SoftWorx,2.108943557
SoftWorx,0.320293809
SoftWorx,2.287207378
SoftWorx,3.074999574
SoftWorx,1.601746761
SoftWorx,1.305574057
SoftWorx,3.194103338
SoftWorx,1.755249847
SoftWorx,1.883988503
SoftWorx,1.022166063
SoftWorx,1.298563145
SoftWorx,0.333848377
SoftWorx,1.232022301
SoftWorx,1.290658342
SoftWorx,0.306281047
SoftWorx,1.321973131
SoftWorx,1.424157106
SoftWorx,1.05333846
SoftWorx,1.759353135
SoftWorx,1.254494208
SoftWorx,1.239116355
SoftWorx,1.180617814
SoftWorx,1.597894365
SoftWorx,1.631231682
SoftWorx,2.106499784
SoftWorx,1.49158369
SoftWorx,1.506709184
SoftWorx,1.807434905
SoftWorx,1.704505009
